frame ID,TREATMENT,Date,Time,Trial No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreat,Activity**,Attacking part,No of comers,Id of comers,Retreat,Activity,Coming and Going back,Retreat,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,total time for pulling,intensity of pulling ***,Remarks,
,,,,,,,,,GG,G,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RGW,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,RYB ,R,,H/L,,,,,,,,,,,,,,,
,,2/28/16,2.45PM,11,12,RB,13,0,RB,R,TP-R,L,1,RGW,R,, -GRY,R,WEB,,,,,,0,,
,,,,,,,,,RG,R,TP-R,L,,,,, -RB,,,,,,,,,,
,,,,,,,,,GBG,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,GYR,R,,H,,,,,,,,,,,,,,,
,,,,,,,,,GBl,R,,H,,,,,,,,,,,,,,,
,,,,,,,,,RBY,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RYBl,G,,T,,,,,,,,,,,,,,,
,,,,,,,,,RBl,G,,T,,,,,,,,,,,,,,,
,,,,,,,,,GRY,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,,GRBl,G,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RBR,R,,T/H,,,,,,,,,,,,,,,
,,,,,,,,,GR,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,GG,R,,L,,,,,,,,,,,,,,,
,,3/2/16,4.00 PM,12,10,RBG,6,0,RBG,R,,H,3,GRBl,R,, -RB,,WEB,,,,,,0,,
,,,,,,,,,RGW,R,TP-R,L,,GRY,R,, +RB,,,AB,,,,,,,
,,,,,,,,,RBY,R,,W,,GG,R,, -RB,,,,,,,,,,
,,,,,,,,,RGY,R,,W,,,,,,,,,,,,,,,
,,,,,,,,,RB,R,WEB,L,,,,,,,,,,,,,,,
,,,,,,,,,GYW,R,,L,,,,,,,,,,,,,,,
,,3/3/16,11.00AM,13,83,RYG,3,0,RYG,R,,L,0,,,,,,,,,,,,0,,
,,,,,,,,,GYR,R,,W,,,,,,,,,,,,,,,
,,,,,,,,,RBR,R,,W,,,,,,,,,,,,,,,
,,3/4/16,12.01PM,14,13,RBR,7,0,RBR,R,TP-R,W/AN,2,RG,R,, -RBY,,,,G,,,,4,,
,,,,,,,,,RYBl,R,,W/T,,GG,R,, +RBY,,,AB,,,,,,,
,,,,,,,,,RGR,R,,L,,,,, -GBl,,,,,,,,,,
,,,,,,,,,RYG,R,,L,,,,, +GBl,,,W,,,,,,,
,,,,,,,,,RBY,R,,AN,,,,, -RBY,,,,,,,,,,
,,,,,,,,,RB,R,,AN,,,,,,,,,,,,,,,
,,,,,,,,,GBl,G,,AN,,,,,,,,,,,,,,,
,,3/5/16,3:20PM,15,8,RYG,7,0,RYG,R,TP-R,W,0,,,,,,,,,,,,0,,
,,,,,,,,,GG,R,,H,,,,,,,,,,,,,,,
,,,,,,,,,RGR,G,,L,,,,,,,,,,,,,,,
,,,,,,,,,RB,R,,H,,,,,,,,,,,,,,,
,,,,,,,,,RYBl,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,,GYR,,,H,,,,,,,,,,,,,,,
,,,,,,,,,RBR,R,,H/T,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/8/16,2:45PM,16,18,RBY,5,,RBY,R,,L,2,RBR,R,, -RBY,,,,,,,,0,,
,,,,,,,,,RGR,R,,H,,GYR,R,, -RYG,,,,,,,,,,
