frame ID,TREATMENT,Date,Time,Trial No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreat,Activity**,Attacking part,No of comers,Id of comers,Retreat,Activity,Coming and Going back,Retreat,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,total time for pulling,intensity of pulling ***,Remarks
,,,,,,,,,RWG,G,,,,,,, +RYR,,TP-G,H,,,,,,
,,,,,,,,,,,,,,,,, +RWB,,,T,,,,,,
,,,,,,,,,,,,,,,,, +GBG,,,W/AB,,,,,,
,,,,,,,,,,,,,,,,, +GYBl,,,AB,,,,,,
,,,,,,,,,,,,,,,,, +RWG,,TP-R,W/AB/T,,,,,,
,,,,,,,,,,,,,,,,, -GYBl,,,,,,,,,
,,,,,,,,,,,,,,,,, -RBY,,,,,,,,,
,,,,,,,,,,,,,,,,, +GYBl,,,AB,,,,,,
,,,,,,,,,,,,,,,,, +RWR,,,AB,,,,,,
,,,,,,,,,,,,,,,,, -RWG,,,,,,,,,
,,,,,,,,,,,,,,,,, +RWG,,TP-G,H,,,,,,
,,5/14/16,2:11 pm,12,3,GB,8,0,GB,R,,W,8,RBl,G,, -RBW,,,,R,250,,,0,
,,,,,,,,,GW,R,,L,,GR,G,, -RWG,G,,,,,,,,
,,,,,,,,,RWG,R,,L,,GBR,G,, -RG,,,,,,,,,
,,,,,,,,,RG,G,,,,GBG,R,, -GB,,,,,,,,,
,,,,,,,,,GYW,G,,H,,RBR,R,, +GB,,TP-R,T,,,,,,
,,,,,,,,,RYG,R,TP-DOWN,AN,,GWY,R,, -RG,,,,,,,,,
,,,,,,,,,RBW,R,,W,,GYR,R,, -GYW,,,,,,,,,
,,,,,,,,,RWR,R,,H,,RB,R,, -GW,,,,,,,,,
,,,,,,,,,,,,,,,,, +GYW,,,T,,,,,,
,,,,,,,,,,,,,,,,, +RBW,,,T,,,,,,
,,,,,,,,,,,,,,,,, +RWG,,,H,,,,,,
,,,,,,,,,,,,,,,,, +GW,,,AB,,,,,,
,,,,,,,,,,,,,,,,, +GB,,,T,,,,,,
,,5/14/16,2:57 pm,13,4,GB,8,0,GB,R,TP-R,T,6,GWR,R,, -RBY,,,,R,195,578,383,4,
,,,,,,,,,RWR,R,TP-R,AB,,GWY,R,, -GW,,,,,,,,,
,,,,,,,,,RBY,G,,AB,,GYW,R,, -RWG,,,,,,,,,
,,,,,,,,,GYBl,G,TP-G,AB,,GYG,R,, -GYBl,,,,,,,,,
,,,,,,,,,GW,R,TP-G/R,T,,GR,G,, -RWR,,,,,,,,,
,,,,,,,,,RWG,R,TP-G,T,,RYB,G,, +RWR,,,T,,,,,,
,,,,,,,,,RYG,R,,AB,,,,, +GW,,,H,,,,,,
,,,,,,,,,RBl,G,,AB,,,,, +RWG,,,H,,,,,,
,,,,,,,,,,,,,,,,, -RWR,,,,,,,,,
,,,,,,,,,,,,,,,,, -RYG,,,,,,,,,
,,,,,,,,,,,,,,,,, -RBl,,,,,,,,,
,,,,,,,,,,,,,,,,, +RWR,,,T,,,,,,
,,,,,,,,,,,,,,,,, +RBl,,,T,,,,,,
,,5/14/16,3:26 pm,14,3,GBG,3,0,GBG,R,TP-R,T,5,GWBl,R,, -GWR,,,,R,273,334,61,4,
,,,,,,,,3,GYBl,R,TP-R,H,,RYR,R,, +GWR,,,AB,,,,,,
,,,,,,,,11,GWR,G,,L,,RWG,R,, -GYBl,,,,,,,,,
,,,,,,,,,,,,,,GYB,G,, +GYBl,,,AB,,,,,,
,,,,,,,,,,,,,,RWBl,G,, -GWR,,,,,,,,,
,,,,,,,,,,,,,,,,, -GYBl,,,,,,,,,
,,5/14/16,4:23 pm,15,3,GY,6,0,GY,G,,L,4,GYBl,G,, -GY,,,,R,132,182,50,4,
,,,,,,,,,GWR,G,,,,RYBl,G,, -GWR,,,,,,,,,
,,,,,,,,,GB,R,,T,,GBl,G,, -GB,,,,,,,,,
,,,,,,,,,GWBl,R,,,,RBl,R,, -GWBl,,,,,,,,,
,,,,,,,,,GYG,R,TP-R,T,,,,, -RWG,,,,,,,,,
,,,,,,,,,RWG,G,,AN,,,,,,,,,,,,,,
,,5/15/16,1:29 pm,16,50,RWB,3,0,RWB,R,TP-R,L/AB,2,RBl,R,, -GBW,,,,R,225,,,3,
,,,,,,,,12,GBG,R,TP-R,L/T,,GWBl,R,, +GBW,,,AB,,,,,,
,,,,,,,,41,GBW,G,,L/AB,,,,,,,,,,,,,,
,,5/15/16,2:10 pm,17,5,GG,9,0,GG,R,,T,4,RBW,R,, -GY,,,,R,60,,,1,
,,,,,,,,,GY,R,,AB,,RWB,R,, -RR,,,,,,,,,
,,,,,,,,,RWG,R,,H,,RWY,R,,,,,,,,,,,
,,,,,,,,,RYG,G,,AB,,RBG,R,,,,,,,,,,,
,,,,,,,,,RR,G,,AB,,,,,,,,,,,,,,
,,,,,,,,,GR,G,,AB,,,,,,,,,,,,,,
,,,,,,,,,RY,R,,AB,,,,,,,,,,,,,,
,,,,,,,,,RG,R,TP-R,T,,,,,,,,,,,,,,
,,,,,,,,,RB,R,,AB,,,,,,,,,,,,,,
,,5/15/16,4:33 pm,18,3,RBY,9,0,RBY,R,,W,3,RBG,R,, -RBY,,,,R,276,,,1,
,,,,,,,,,RY,R,,W,,GBW,G,, +RBY,,TP-R,AB,,,,,,
,,,,,,,,,RWBl,R,,AN/AB/H,,RYBl,G,, -RY,,,,,,,,,
,,,,,,,,,RYG,G,,L,,,,, -RYG,,,,,,,,,
,,,,,,,,,RWB,R,,H,,,,, -RWB,,,,,,,,,
,,,,,,,,,RBl,R,TP-R,AB,,,,, -RBl,,,,,,,,,
,,,,,,,,,RYR,R,TP-R,AB,,,,, +RBl,,,T,,,,,,
,,,,,,,,,RWY,G,,AB,,,,, +RWB,,TP-R,AB,,,,,,
,,,,,,,,,GBG,G,,AB,,,,, -RBl,,,,,,,,,
,,,,,,,,,,,,,,,,, -RWB,,,,,,,,,
,,,,,,,,,,,,,,,,, +RY,,,H,,,,,,
,,5/16/16,3:50 pm,19,16,GB,3,0,GB,G,TP-G,W/L/T/H,7,RBG,R,,,,,,G,308,,,3,
,,,,,,,,,GR,G,TP-G,L/AB,,RYBl,R,,,,,,,,,,,
,,,,,,,,,RBW,R,,L/H,,GBG,R,,,,,,,,,,,
,,,,,,,,,,,,,,RYR,R,,,,,,,,,,,
,,,,,,,,,,,,,,GYG,G,,,,,,,,,,,
,,,,,,,,,,,,,,RYG,G,,,,,,,,,,,
,,,,,,,,,,,,,,GWBl,G,,,,,,,,,,,
,,5/16/16,4:54 pm,20,3,GYBl,9,0,GYBl,G,,W,5,GBR,R,, -GG,,,,,,,,0,
,,,,,,,,2,GB,G,,W,,RW,R,, -GBl,,,,,,,,,
,,,,,,,,5,RBW,G,,T,,RYBl,R,, -GBR,,,,,,,,,
,,,,,,,,7,RWBl,G,,T,,RYW,G,, +GBl,,,H,,,,,,
,,,,,,,,9,GG,R,,L,,RBR,G,, -RWG,,,,,,,,,
,,,,,,,,11,RWG,R,,L,,,,,,,,,,,,,,
,,,,,,,,22,GBl,R,,AB,,,,,,,,,,,,,,
,,,,,,,,99,GBR,R,,AB,,,,,,,,,,,,,,
,,,,,,,,120,RWY,G,,W,,,,,,,,,,,,,,
,,5/16/16,5:44 pm,21,3,GYBl,9,0,GYBl,G,,L/AB,4,GWBl,G,, -GBl,,,,,,,,0,
,,,,,,,,6,RWY,R,TP-R,L/H,,RBG,G,, -GYBl,,,,,,,,,
,,,,,,,,12,GW,G,,L/T,,GYW,G,, -GW,,,,,,,,,
,,,,,,,,17,GBl,R,,L,,GG,R,, -RYBl,,,,,,,,,
,,,,,,,,25,RYBl,R,,L/AB,,,,, -GBR,,,,,,,,,
,,,,,,,,70,RWG,R,TP-G,AN/H/AB/T,,,,, -RBY,,,,,,,,,
,,,,,,,,85,GBR,G,,AB,,,,,,,,,,,,,,
,,,,,,,,,RBY,G,,AB,,,,,,,,,,,,,,
,,,,,,,,,GB,G,,H,,,,,,,,,,,,,,
,,5/17/16,3:12 pm,22,1,GBl,6,0,GBl,R,,L/AB,2,GW,G,, -GBW,,,,,,,,0,
,,,,,,,,3,GY,R,,W/T,,GYR,G,, +GBW,,,H,,,,,,
,,,,,,,,6,GBW,G,TP-G,L/H,,,,,,,,,,,,,,
,,,,,,,,10,RBY,G,,W/L/AB,,,,,,,,,,,,,,
,,,,,,,,14,RB,R,,L/T,,,,,,,,,,,,,,
,,,,,,,,20,RBR,G,,W/T/H/T,,,,,,,,,,,,,,
,,5/17/16,3:53 pm,23,6,GY,5,0,GY,R,,AB,4,GWG,G,, -GY,,,,,,,,0,
,,,,,,,,,RG,R,,L/T,,GYBl,G,, -GW,,,,,,,,,
,,,,,,,,,GWBl,G,,AN/AB,,GWR,R,, -RWY,,,,,,,,,
,,,,,,,,,GW,G,,L,,GBW,R,, +RWY,,,AB,,,,,,
,,,,,,,,,RWY,R,,L,,,,, +GW,,,L/T,,,,,,
