"EDGE_WEIGHT"
0.5
0.25
0.2222
0.125
0.2
0.1111
0.1667
0.1667
0.125
0.1111
0.1667
0.1429
0.1667
0.1
0.1429
0.2
0.1
0.0909
0.0909
0.0909
0.1111
0.1667
0.125
0.125
0.125
0.1
0.1111
0.1
0.1
0.1667
0.0909
0.1429
0.1667
0.0909
0.1
0.125
0.2222
0.1111
0.1111
0.1111
0.25
0.125
0.1
0.1
0.1
0.1429
0.0909
0.0833
0.1
0.1111
0.2222
0.1
0.1
0.0909
0.1429
0.1667
0.1429
0.2
0.125
0.25
0.125
0.0909
0.125
0.1667
0.25
0.125
0.125
0.2
0.1667
0.3333
0.1667
0.1667
0.1818
0.1111
0.1
0.1429
0.1111
0.1429
0.1111
0.1
0.125
0.2
0.25
0.1667
0.2
0.1667
0.1111
0.25
