"ID","TRANSITIVITY","BETWEENNESS","NODE_STRENGTH","EIGENVECTOR"
1,0.666666666666667,7,0.1578,0.627324917069495
2,0,0,0,0.236315667578869
3,0,0,0,0.236315667578869
4,1,0,0.1052,0.0447053807443689
5,0,0,0,0.236315667578869
6,1,0,0.1052,0.157806937706047
7,0.3,8,0.263,0.0273878193970734
8,0,0,0,0.236315667578869
9,0,0,0.0526,0.161069566518084
10,0,0,0,0.236315667578869
11,0,0,0,0.236315667578869
12,0,0,0,0.236315667578869
13,0,0,0,0.236315667578869
14,0,0,0.0526,0
15,1,0,0.1052,0.166173070129763
16,1,0,0.1052,0.166169300449932
17,0,0,0,0.236315667578869
18,0,0,0.0526,0.416282989847983
19,0.333333333333333,0,0.2104,0.238770297449364
20,0,0,0,0.236315667578869
21,0.333333333333333,4,0.1578,0.0912096928789857
22,0,0,0,0.236315667578869
23,0,0,0,0.236315667578869
24,1,0,0.1052,0.506631465297503
25,0,0,0,0.236315667578869
26,0.5,12,0.1578,0.993627775408674
27,0,0,0,0.236315667578869
28,0,0,0,0.236315667578869
29,0,0,0,0.236315667578869
30,1,0,0.1052,0.506620735441129
31,0,0,0.0526,0
32,1,0,0.1052,0.0447019711791546
33,0,0,0,0.236315667578869
34,0,0,0,0.236315667578869
35,0,0,0,0.236315667578869
36,0.166666666666667,6,0.2104,0.515495391157544
37,0.119047619047619,16,0.3682,1
38,0,0,0.0526,0.0147725676444477
39,0,0,0,0.236315667578869
40,0,0,0,0.236315667578869
