"ID","TRANSITIVITY","BETWEENNESS","EIGENVECTOR","NODE_STRENGTH","NODE_DEGREE"
1,0.199596617795361,101,0.631452735574601,1.2891,9
2,0.588264360716492,0,0.569114738257079,0.8095,3
3,0,0,0.478352998952141,0.75,3
4,0.272541449012037,56,0.651231476456645,0.8806,6
5,0.209853325137737,95,1,1.6121,12
6,0,6,0.239454756207171,0.3667,2
7,0.233813904121705,77,0.724699384233773,1.1306,7
8,0.347349668918692,27,0.562801565780254,0.9917,4
9,0.145557126145447,60,0.903935327513468,1.5387,9
10,0,46,0.296163457176323,0.5429,3
11,0.111686871501893,249,0.737182570437022,1.4353,13
12,0.208352776481568,23,0.38192770298521,0.6429,4
13,0.456651735722284,51,0.739239948380927,0.893,6
14,0.584766876260529,4,0.486357581963039,0.8429,3
15,0,0,0.146025032724198,0.1667,1
16,1,0,0.206368125585198,0.2917,2
17,0.315625622633991,79,0.710621118068272,1.1472,8
18,0,36,0.345603244629188,0.8833,4
19,0,1,0.288119019790311,0.5,2
20,0.446355835014039,4,0.622653300258487,0.8429,4
21,0.284201800094742,23,0.488326510079013,0.8444,6
22,0.116064730468331,53,0.796279332641578,1.333,8
23,0.156202442045656,89,0.536618592100515,1.1302,6
24,0,0,0.433454905992458,0.8429,4
25,0.289171867093945,0,0.316852470203166,0.5929,3
26,0.199596617795361,101,0.631452735574601,1.2891,9
27,0.588264360716492,0,0.569114738257079,0.8095,3
28,0,0,0.478352998952141,0.75,3
29,0.272541449012037,56,0.651231476456645,0.8806,6
30,0.209853325137737,95,1,1.6121,12
31,0,6,0.239454756207171,0.3667,2
32,0.233813904121705,77,0.724699384233773,1.1306,7
33,0.347349668918692,27,0.562801565780254,0.9917,4
34,0.145557126145447,60,0.903935327513468,1.5387,9
35,0,46,0.296163457176323,0.5429,3
36,0.111686871501893,249,0.737182570437022,1.4353,13
37,0.208352776481568,23,0.38192770298521,0.6429,4
38,0.456651735722284,51,0.739239948380927,0.893,6
39,0.584766876260529,4,0.486357581963039,0.8429,3
40,0,0,0.146025032724198,0.1667,1
