"ID","TRANSITIVITY","BETWEENNESS","NODE_STRENGTH","EIGENVECTOR"
1,0.164114640533919,54,1.1837,0.169807159458718
2,0.16664807585053,22,0.8965,0.13235306772179
3,0.206031248515933,325,1.4038,0.27183479282579
4,0.704630012401819,15,0.4838,0.0710327407301352
5,0.265714285714286,3,0.875,0.107652129219499
6,0.240475573808907,39.5,1.1583,0.168350330702801
7,0,0,0.4,0.0702850652489609
8,0.127491538172245,61,1.0636,0.154171403229104
9,0.10801510776997,77,1.2238,0.158780668774115
10,0.171649766378368,294,1.437,0.193921834196147
11,0.146903914590747,0,0.7025,0.110657954515562
12,0.262760038703435,0,0.5512,0.0800146195207733
13,0.7034912109375,0,0.4096,0.0555517387955262
14,0.177957053031202,1,0.8429,0.135084920334567
15,0.256102285935684,96,1.2905,0.192621807591366
16,0,0,0,0.0188568583587066
17,0.395424956114687,97,1.0254,0.154292234040002
18,1,0,0.2778,0.0433606686892106
19,0,0,0,0.0188568583587066
20,0.285209412591097,42,1.1389,0.189919183949754
21,0.237251834469401,5,0.8949,0.141436890584431
22,1,0,0.5333,0.0840381131574575
23,1,0,0.35,0.0669508298765946
24,0.445555272542028,7,0.7852,0.107493894341798
25,0,0,0,0.0188568583587066
26,0.239398214857509,81,1.1104,0.156012217968678
27,0,0,0,0.0188568583587066
28,0.452999506438731,29,0.7429,0.0990817248794809
29,0,31,1.1,1
30,0.653867454310504,0,0.5417,0.0939850753593766
31,0.13403451995685,166,1.2978,0.172527930996854
32,0.24382253837514,63,1.0684,0.166079619607124
33,0,0,1,0.985627212761542
34,0.341521046268821,123,0.9099,0.13392647462411
35,0.0789503599848427,13,1.0556,0.156652452479636
36,0,0,0,0.0188568583587066
37,0,0,0,0.0188568583587066
38,0,0,0,0.0188568583587066
39,0.225296995108316,18,1.0017,0.15048635888351
40,0.374370243327259,81,0.9329,0.138419245051748
