"ID","TRANSITIVITY","BETWEENNESS","NODE_STRENGTH","EIGENVECTOR"
1,0.533333333333333,20,0.2856,0.469793379710282
2,0,0,0.0476,0.0952740725807895
3,0.6,6,0.2856,0.465397510216594
4,0.533333333333333,13,0.2856,0.397762923610505
5,0,0,0,0.0256469991081783
6,0.5,0,0.1904,0.18690357820206
7,0.476190476190476,62,0.3332,0.39059648869912
8,1,0,0.1428,0.194195730767943
9,0,0,0,0.0256469991081783
10,0.533333333333333,17,0.2856,0.431149904490334
11,1,0,0.0952,0.0963018470662978
12,0.444444444444444,22,0.4284,0.462398692131166
13,0,0,0,0.0256469991081783
14,0.254545454545455,126,0.5236,0.572390760578927
15,1,0,0.1428,0.269931014979593
16,1,0,0.0952,0.122691869865822
17,0.444444444444444,22,0.4284,0.480977898617134
18,0.333333333333333,1,0.1428,0.157977484290899
19,0.642857142857143,5,0.3332,0.62842216845531
20,0,0,0,0.0256469991081783
21,0.4,24,0.238,0.341095711992185
22,0,0,0,0.0256469991081783
23,1,0,0.1428,0.154995503175942
24,0.398989898989899,59,0.5236,0.861758043825435
25,0.339285714285715,45,0.6664,1
26,0,0,0,0.0256469991081783
27,0.333333333333333,65,0.4284,0.551448071088932
28,0,0,0,0.0256469991081783
29,1,0,0.1904,0.224584723419053
30,0.5,48,0.238,0.275190461180954
31,0,0,0,0.0256469991081783
32,0,0,0,0.0256469991081783
33,1.33333333333333,0,0.1428,0.277880427433122
34,0.363636363636364,149,0.5236,0.740113915296137
35,0.444444444444445,59,0.4284,0.662105057606407
36,0.5,9,0.1904,0.253448499865248
37,0,0,0,0.0256469991081783
38,1,0,0.1904,0.224584749024502
39,0.476190476190476,12,0.3332,0.462032607494372
40,0,0,0,0.0256469991081783
