"EDGE_WEIGHT"
0.5
0.3333
0.2
0.1667
0.3333
0.1667
0.2
0.125
0.1667
0.25
0.1429
0.1667
1
0.25
0.1667
0.3333
0.125
0.1667
0.125
0.3333
0.125
0.2857
0.1429
0.1667
0.1667
0.125
0.1
1
0.3333
0.1429
0.1667
0.25
0.25
0.25
0.25
0.1111
0.25
0.1667
0.125
0.125
0.1
0.2857
