"ID","TRANSITIVITY","BETWEENNESS","EIGENVECTOR","NODE_STRENGTH","NODE_DEGREE"
1,0.0980471244664045,40,0.555423656850844,0.9917,4
2,0.229882203646997,33,0.432035763619176,1.2083,4
3,0,0,0.207918810494153,0.3667,2
4,0.174065524283051,105,0.456071076989216,1.1263,7
5,0,13,0.862623116997254,1.0333,4
6,0.105377549615468,86,0.843257811602975,1.4526,8
7,0.132569711764154,133,0.573723773247551,1.0651,7
8,0,0,0.236633333846093,0.45,2
9,0.0260251240141323,92,1,1.6012,8
10,0.151076365284387,134,0.409181366055366,0.8826,6
11,0.0938734237449441,164,0.798032271334516,1.401,10
12,0.0568988473689601,240,0.725058658237566,1.4103,10
13,0,0,0.306679780762825,0.7,2
14,1,0,0.206796407287606,0.5333,2
15,0,0,0.216319880336712,0.7,2
16,0.135603274409776,8,0.385851698854235,0.8429,4
17,0.348093574358195,12,0.31690712015116,0.6583,3
18,0,0,0.414001654911807,0.75,3
19,0.155167063204717,28,0.590710623238362,0.9667,5
20,0.192655954995569,38,0.395503860457262,0.8651,4
21,0,0,0.252287457168072,0.7,2
22,0.0998617256637168,55,0.465460678619632,0.904,5
23,0,29,0.365106138619116,0.6846,4
24,0,0,0.489289085308977,0.75,2
25,0.153277093294103,92,0.819695345015323,1.6314,9
26,0.137523000707714,84,0.535816264609675,1.1775,7
27,0,42,0.653654703686874,0.9953,5
28,0.190091061586389,19,0.374028040841835,0.8346,5
29,0.0980471244664045,40,0.555423656850844,0.9917,4
30,0.229882203646997,33,0.432035763619176,1.2083,4
31,0,0,0.207918810494153,0.3667,2
32,0.174065524283051,105,0.456071076989216,1.1263,7
33,0,13,0.862623116997254,1.0333,4
34,0.105377549615468,86,0.843257811602975,1.4526,8
35,0.132569711764154,133,0.573723773247551,1.0651,7
36,0,0,0.236633333846093,0.45,2
37,0.0260251240141323,92,1,1.6012,8
38,0.151076365284387,134,0.409181366055366,0.8826,6
39,0.0938734237449441,164,0.798032271334516,1.401,10
40,0.0568988473689601,240,0.725058658237566,1.4103,10
