"ID","TRANSITIVITY","BETWEENNESS","NODE_STRENGTH","EIGENVECTOR"
1,0.464247242882791,0,0.7798,0.493407753082076
2,0.307949675100235,119,1.2055,0.775414878152423
3,0.157565319121279,59,1.099,0.673972503094958
4,0,0,0,0.106051704321391
5,0.0763720858777893,18,0.8679,0.500925464279738
6,0.291666666666667,10,0.6,0.335637617476276
7,0.235137306456325,112,1.2551,0.81467812375574
8,0.193025760703707,188,1.1998,0.767262260077292
9,0.193418856383245,205,1.4293,0.988042734139174
10,0.267716417238325,7,0.9517,0.67321545038788
11,0.116913137993325,90,1.0887,0.608260644516467
12,0,0,0.3611,0.244455006036386
13,2,0,0.2778,0.176126772605558
14,0.234189723320158,19,0.8096,0.58501276100723
15,0.341282545490183,18,0.8746,0.631407714687136
16,0.314679041523626,16,0.8281,0.568968689081366
17,0.153446200150489,104.5,1.329,0.809941675903807
18,0.278984714830745,92,1.3717,0.997593524792035
19,0.197809526632481,201,1.2268,0.848769815391926
20,0.288322693144644,36,0.9913,0.691562450761796
21,0.204716019642361,111.5,1.0793,0.771487570629588
22,0.32177864908216,36,0.5611,0.310953414096647
23,0.471871591086177,0,0.6417,0.422959541718671
24,0.165384263075937,36,0.7278,0.334458884624768
25,0.448099991244199,30,0.7614,0.571158022903422
26,0.380802003139248,60,1.3379,0.984130024656074
27,0.19080371927143,64,1.0468,0.737270730331769
28,0,0,0.675,0.418377412774176
29,0.298323524166221,3,0.9345,0.681061217689435
30,0.328764028791753,43,1.0821,0.714386344255274
31,0.234910358565737,25,1.004,0.637143665262033
32,0,0,0,0.106051704321391
33,0,0,0.3667,0.248588667127993
34,0.208735495308359,320.5,1.3961,0.994568598766767
35,0.247522307555713,170,1.2872,0.934588488005119
36,0.557022229881096,20,0.829,0.693541303565147
37,0,13,0.9361,0.478194971214743
38,0.027533527696793,31,1.225,0.757438050981318
39,0.279311693390692,53.5,1.2785,1
40,0.419495710943592,12,0.7694,0.538773478748508
