"ID","TRANSITIVITY","BETWEENNESS","NODE_STRENGTH","EIGENVECTOR"
1,1,0,0.238,0.0629618819049717
2,1,0,0.0952,0.0428965859042818
3,0.936507936507937,6,0.4284,0.220236305977714
4,1.33333333333333,0,0.1904,0.0736603927815635
5,0.495859213250516,100,1.0948,0.51776178724476
6,0.795321637426896,36,0.9044,0.644559381729475
7,0.908482142857142,28,0.7616,0.486347701367682
8,1,0,0.0952,0.0354812092444149
9,2,0,0.0952,0.042667395398387
10,1.18759845103702,0,0.7618,0.664821691686899
11,1.33333333333333,0,0.1904,0.0711903153205127
12,0.577731092436975,48,0.8092,0.536167372686502
13,0.747354497354497,43,0.9996,0.667752339358634
14,0,0,0,0.00843469869448927
15,0,0,0,0.00843469869448927
16,0,0,0,0.00843469869448927
17,0,0,0,0.00843469869448927
18,0,0,0,0.00843469869448927
19,0.533333333333334,0,0.476,0.159750151027737
20,0.677083333333333,29,0.3808,0.153401611643412
21,0.364912280701755,55,0.9044,0.289115716575313
22,0.644444444444445,18,0.476,0.20558052372579
23,0.444444444444445,47,0.4284,0.143655602071502
24,0,0,0,0.00843469869448927
25,0.779411764705881,60,0.8092,0.468554958569118
26,0.764705882352939,48,0.8568,0.500576697383678
27,0.932565789473684,0,0.9044,0.644602447401926
28,1.16666666666667,0,0.6188,0.420918694243353
29,0.485333333333331,151,1.428,0.745200081452296
30,0.74314630791751,44,1.1901,0.861552454781546
31,1,0,0.238,0.0629618821392814
32,1.16666666666667,0,0.6188,0.420918694982528
33,0,0,0,0.00843469869448927
34,0,0,0,0.00843469869448927
35,1.33333333333333,0,0.1904,0.0711903166086035
36,0,0,0,0.00843469869448927
37,0.866666666666667,2,0.238,0.151349552734802
38,0.829861111111108,4,0.8568,0.500598229243194
39,0.552026157077995,24,1.4757,1
40,0.82986111111111,43,0.8568,0.50059823127224
