"ID","TRANSITIVITY","BETWEENNESS","EIGENVECTOR","NODE_STRENGTH","NODE_DEGREE"
1,0.140297419069198,43,0.42110378021391,1.2799,7
2,0,0,0.0886498693982831,0.3333,1
3,0.13239566284779,150,0.549131182605092,1.4664,11
4,0.26856372045221,120,0.385317865015322,1.1676,9
5,0.226162247946228,119,0.529684880608617,1.339,9
6,0.704352906806895,26,0.295266048520552,0.6846,5
7,0.141775166719594,62,0.473722636011869,1.2596,6
8,0,40,0.30181536728809,1.1667,6
9,0.114648202775046,125,0.691283432695055,1.2204,7
10,0,23,0.961924884825251,1.1667,2
11,0.404096669613911,72,0.48115925747172,1.0179,6
12,0.26029682466636,27,0.37485294695005,0.8692,5
13,0.241366681174959,94,0.612819314212835,1.3457,8
14,0.19230272226051,47,0.452860003780777,1.1608,5
15,0,0,0.11240538849629,0.25,1
16,0.148692632439058,179,0.519429700623182,1.4686,11
17,0.191256724851957,75,0.510206144345263,1.4764,8
18,0.268832449759586,37,0.340531333316327,0.8111,5
19,0.257333333333333,46,0.377282323839689,0.95,4
20,0,0,0.0806702018536221,0.1667,1
21,0,28,1,1.25,2
22,0.276384593548773,150,0.700635611448977,1.4874,10
23,1,0,0.14938010051797,0.4167,2
24,0,0,0.131417669346334,0.7,2
25,0,0,0.11240538849629,0.25,1
26,0,23,0.285167881419859,1.0833,3
27,0,25,0.681763128668495,1.25,2
28,0,0,0.225424015232764,0.75,2
29,0,0,0.108762227286461,0.6111,2
30,0,0,0.600806949816499,1,1
31,0.502365744026496,11,0.23039470332349,0.5636,4
32,0,0,0.135646851963051,0.3929,2
33,0.140297419069198,43,0.42110378021391,1.2799,7
34,0,0,0.0886498693982831,0.3333,1
35,0.13239566284779,150,0.549131182605092,1.4664,11
36,0.26856372045221,120,0.385317865015322,1.1676,9
37,0.226162247946228,119,0.529684880608617,1.339,9
38,0.704352906806895,26,0.295266048520552,0.6846,5
39,0.141775166719594,62,0.473722636011869,1.2596,6
40,0,40,0.30181536728809,1.1667,6
