"ID","TRANSITIVITY","BETWEENNESS","EIGENVECTOR","NODE_STRENGTH","NODE_DEGREE"
1,0,0,0.193623933575239,0.3429,2
2,0,0,0.0761418652558846,0.125,1
3,0,0,0.485952283110163,0.9,4
4,0,0,0.337110316975829,0.65,4
5,0.0444460130349874,106,0.602550759432892,1.4167,10
6,0.341558779827973,55,1,1.5357,12
7,0,0,0.312849979345991,0.6666,2
8,0.177787916809247,33,0.360419212689585,0.8767,4
9,0.227295041728031,0,0.252433928503707,0.6111,3
10,0,0,0.149478746234347,0.2679,2
11,0.148197530864198,141,0.629125457297664,1.215,11
12,0.642518023562511,0,0.366487170818303,0.5687,5
13,0.333333333333333,0,0.314389306030313,0.6666,4
14,0,0,0.112174210107373,0.25,1
15,0.327481319843947,221.5,0.928628395454054,1.5123,16
16,0.0535694241777977,4,0.511325124601891,0.8909,5
17,0.113314068603842,157.5,0.559339773314857,1.2458,10
18,0.372635329874758,20,0.342898104148096,0.6361,4
19,0.73924796255951,69,0.655428648331933,0.8262,7
20,0.237267453490698,223,0.850398026769587,1.4997,16
21,0.211950599346168,228,0.812582147601967,1.3765,13
22,0.166268799236095,127,0.690681588058486,1.2567,10
23,0.134194577352472,74,0.520888891323744,1.254,6
24,0.15547385620915,85,0.604300345097649,1.156,10
25,0,0,0.229365000247443,0.4111,3
26,1,0,0.196850249597572,0.3096,2
27,0.327264524391664,171,0.807539662703867,1.4315,13
28,0,0,0.160023249005809,0.254,2
29,0.284624420805325,39,0.578608114966719,1.0945,8
30,0.445401976195823,45,0.64693995780864,0.8906,7
31,0.0409704027171276,48,0.502136263091953,1.0305,6
32,0.0796202943328726,97,0.489033383359725,1.4056,8
33,0,0,0.264932248441116,0.5,2
34,0.296796194406236,144.5,0.633450042193101,1.1632,10
35,0,0,0.275915734926185,0.7,2
36,0.214373873520884,167.5,0.663894382599411,1.2761,13
37,0,0,0.193623933575239,0.3429,2
38,0,0,0.0761418652558846,0.125,1
39,0,0,0.485952283110163,0.9,4
40,0,0,0.337110316975829,0.65,4
