"ID","TRANSITIVITY","BETWEENNESS","EIGENVECTOR","NODE_STRENGTH","NODE_DEGREE"
1,0.0693827708703375,24,0.663911523936424,1.3512,5
2,0.22603305785124,66.5,0.896418171597706,1.452,10
3,0.118459556030146,97,1,1.7708,12
4,0.191473920779099,0,0.66952005870425,1.0679,5
5,0.222305919886565,168,0.773691491283826,1.4105,13
6,0,0,0.108756139694216,0.125,1
7,0.355664,128.5,0.869092653436553,1.25,11
8,0.230758848736377,13,0.722236753712194,0.9879,7
9,0.515419713453422,0,0.81541203593175,1.1214,7
10,0.383127304272392,76,0.524118520304493,0.9222,6
11,0.426881473837098,94.5,0.776736591418995,1.1628,10
12,0.200470378024628,163,0.97149005998729,1.5484,13
13,0.180636557443252,72,0.61782463276501,1.1831,10
14,0,0,0.0922372251038946,0.1667,1
15,0.384596942517064,37,0.728441467107871,1.1818,7
16,0,0,0.138520246495674,0.25,1
17,0.0991502379333787,35,0.498733678988739,0.8826,6
18,0.408461842625544,31,0.680441219195437,1.0116,7
19,0.245249914412872,0,0.655432721657689,0.8763,5
20,0,0,0.275157604601639,0.4444,2
21,0,1,0.262135198641329,0.3334,2
22,0,0,0.230757471599568,0.4167,2
23,0.279403476828369,65,0.755837544472313,1.2815,10
24,1,0,0.19432945562027,0.3611,2
25,0.33107822410148,35.5,0.526117282720563,0.7568,6
26,0,1,0.264305269289425,0.3667,2
27,0,0,0.111664240111771,0.25,1
28,0.392463343108504,12,0.566874248045554,0.8525,5
29,0.160653800708941,63,0.618682508205525,1.2695,7
30,0.0693827708703375,24,0.663911523936424,1.3512,5
31,0.22603305785124,66.5,0.896418171597706,1.452,10
32,0.118459556030146,97,1,1.7708,12
33,0.191473920779099,0,0.66952005870425,1.0679,5
34,0.222305919886565,168,0.773691491283826,1.4105,13
35,0,0,0.108756139694216,0.125,1
36,0.355664,128.5,0.869092653436553,1.25,11
37,0.230758848736377,13,0.722236753712194,0.9879,7
38,0.515419713453422,0,0.81541203593175,1.1214,7
39,0.383127304272392,76,0.524118520304493,0.9222,6
40,0.426881473837098,94.5,0.776736591418995,1.1628,10
