"ID","TRANSITIVITY","BETWEENNESS","EIGENVECTOR","NODE_STRENGTH","NODE_DEGREE"
1,0.221998145572554,3,0.486579189924305,0.8628,6
2,0.180044271028739,166,0.803973369642185,1.3327,11
3,0.795630275945236,60,0.28369219897534,0.4699,4
4,0.203630583317233,388,0.95671111017173,1.6745,18
5,0.0180840293596558,143,0.844047152893879,1.5804,11
6,0.106619883040936,167,0.609224046961335,1.425,10
7,0.327456092206367,84,0.743411540251106,1.0932,9
8,0.341991281113767,150,0.909056002051826,1.4222,11
9,0.429703408587871,35,0.55293632660132,0.9036,6
10,0.0800896944781837,18,0.637250071181552,1.0703,6
11,0,6,0.834574132361205,1.375,5
12,0,0,0.0824347700929808,0.1,1
13,0,0,0.504551646780459,0.6667,3
14,0,0,0.166549238661301,0.2858,2
15,0.159214375261178,29,0.537559854563882,0.7179,4
16,0.088712442479473,8,0.680764474427521,1.1083,6
17,0.351444547996272,50,0.568286473592434,0.8584,6
18,0.278302527860832,10,0.508553396241688,0.7358,5
19,0.203605527329848,40,0.967279906767844,1.3581,7
20,0.186048904097722,65,0.904922993920066,1.3192,8
21,0.0489018824871649,42,0.724299982418387,1.4024,6
22,0,0,0.343900117876207,0.6666,2
23,0.0927727829523655,14,0.781037328178214,1.2362,8
24,0.122272018706157,159,1,1.5396,11
25,0.211825938566553,233,0.86943042543233,1.465,13
26,0.218257165880051,86,0.601307918256591,0.8687,7
27,0,0,0.553077909886151,0.8111,4
28,0.249348341232228,56,0.854128711568306,1.3715,9
29,0.225713699438274,191,0.92000691271334,1.4995,14
30,0.114752593408611,6,0.371620021089671,0.7262,4
31,0.102096378981759,11,0.504916972149468,0.7346,5
32,0.0631199941215372,46,0.787798038311914,1.3609,8
33,0.51936553030303,0,0.540727711662561,0.704,4
34,0.207256814659495,30,0.780931636474671,1.0969,6
35,0,0,0.208742980655806,0.3334,2
36,0.311363366218947,35,0.473177615155583,0.8413,5
37,0,0,0.282302738475884,0.6111,3
38,0.221998145572554,3,0.486579189924305,0.8628,6
39,0.180044271028739,166,0.803973369642185,1.3327,11
40,0.795630275945236,60,0.28369219897534,0.4699,4
