frame ID,TREATMENT,Date,Time,Trial No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreat,Activity**,Attacking part,No of comers,Id of comers,Retreat,Activity,Coming and Going back,Retreat,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,total time for pulling,intensity of pulling ***,Remarks
,,2/23/16,11:55 am,11,2,RG,5,0,RG,G,,L,3,RYBl,R,,,,,,G,172,,,1,
,,,,,,,,,RR,R,,L,,GWG,G,,,,,,,,,,,
,,,,,,,,,GYBl,G,,T,,RB,G,,,,,,,,,,,
,,,,,,,,,GBY,G,TP-G,T,,,,,,,,,,,,,,
,,,,,,,,,GBR,R,,L,,,,,,,,,,,,,,
,,2/26/16,3:06 pm,12,19,RW,9,0,RW,G,,W/T,4,RYG,R,, - RR,,,,R,,,,3,
,,,,,,,,,RY,R,,AB,,GBY,R,, + RR,,,T,,,,,,
,,,,,,,,,RYBl,R,,AB,,RB,R,, - RY,,,,,,,,,
,,,,,,,,,GR,G,,L/W,,RBl,G,, - RYBl,,,,,,,,,
,,,,,,,,,RR,R,,W,,,,, - RW,,,,,,,,,
,,,,,,,,,RG,R,,AB/L,,,,,,,,,,,,,,
,,,,,,,,,RYG,R,TP-R,L,,,,,,,,,,,,,,
,,,,,,,,,RWY,G,,T,,,,,,,,,,,,,,
,,,,,,,,,GWBl,R,,T,,,,,,,,,,,,,,
,,2/29/16,12:30 pm,13,10,RB,9,0,RB,R,,W,5,GYG,R,, - RB,R,,, -,,,,0,
,,,,,,,,,RR,R,,L,,G_,R,, - RR,R,,,,,,,,
,,,,,,,,,GR,G,,H,,GB,G,, - GR,R,,,,,,,,
,,,,,,,,,RW,G,,AB,,GBY,R,, + RR,,,L,,,,,,
,,,,,,,,,RWY,G,,H,,GYW,R,,,,,,,,,,,
,,,,,,,,,RBl,R,,H/T,,,,,,,,,,,,,,
,,,,,,,,,GYBl,R,,AB,,,,,,,,,,,,,,
,,,,,,,,476,GWG,R,,AB,,,,,,,,,,,,,,
,,,,,,,,488,RY,R,,AB,,,,,,,,,,,,,,
,,3/2/16,4:06 pm,14,80,GR,3,0,GR,G,TP-G,W,2,RYBl,R,,,,,,UP,,,,1,
,,,,,,,,91,RBl,R,,W,,RW,R,,,,,,,,,,,
,,,,,,,,124,RWY,UP,,W,,,,,,,,,,,,,,
,,3/3/16,10:30 am,15,28,GYG,11,0,GYG,R,,L/T,4,RYB,R,, - GYG,,,,-,,,,0,
,,,,,,,,,RYG,G,TP-G,H,,GY,R,, - RYG,,,,,,,,,
,,,,,,,,,RR,R,,L,,RWB,G,, + GYG,,,T,,,,,,
,,,,,,,,,GBR,G,,H,,RBl,G,, - RY ,,,,,,,,,
,,,,,,,,,GR,G,,W,,,,, + RYG,,,AB,,,,,,
,,,,,,,,,GBG,R,,L,,,,, + RY ,,,,,,,,,
,,,,,,,,,RB,G,,AB,,,,, - RYBl,,,,,,,,,
,,,,,,,,,RY,G,,AB,,,,,,,,,,,,,,
,,,,,,,,,RYBl,G,,AB,,,,,,,,,,,,,,
,,,,,,,,,RBl,G,,AB,,,,,,,,,,,,,,
,,,,,,,,,GYW,R,,AB,,,,,,,,,,,,,,
,,3/8/16,6:30PM,16,22,RY,3,0,GY,R,,L,5,RWB,G,, -RY,,,,R,,,,1,
,,,,,,,,,GR,R,TP-R,L/T,,RB,R,, +RY,,,AB,,,,,,
,,,,,,,,,RR,R,,L/H,,GYG,G,, -RY,,,,,,,,,
,,,,,,,,,,,,,,GYW,R,, +RY,,,AB,,,,,,
,,,,,,,,,,,,,,RW,G,,,,,,,,,,,
,,3/9/16,9:45AM,17,240,RBl,8,0,RBl,R,TP-R,L,4,RWB,G,,,,,,,,,,,
,,,,,,,,,GBR,G,,L/H,,RYG,R,,,,,,,,,,,
