frame ID,TREATMENT,Date,Time,Trial No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreatof attackers,Activity**,Attacking part,No of comers,Id of comers,Retreatof comers,Activity,Coming and Going back,Retreatof coming and going back,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,total time for pulling,intensity of pulling ***,Remarks,
,,,,,,,,,GBR,R,,AN,,RWR,G,, -GBR,,,,,,,,,,
,,,,,,,,,RYR,R,,W,,,,, -RYR,,,,,,,,,,
,,,,,,,,,GR,R,,W,,,,, +RYR,,,H,,,,,,,
,,,,,,,,,GYB,R,TP-R/WEB,W,,,,, -GR,,,,,,,,,,
,,,,,,,,,GWBl,G,,H,,,,, -GWBl,,,,,,,,,,
,,,,,,,,,,,,,,,,, +RYR,,TP-R,,,,,,,,
,,,,,,,,,,,,,,,,, +GBW,,,H,,,,,,,
,,,,,,,,,,,,,,,,, -GWBl,,,T,,,,,,,
21,DC,3/31/16,4:45 PM,16,21,GYR,5,0,GYR,UP,,L,6,RR,R,, -GYR,,,,,,,,0,,
,,,,,,,,,GYBl,R,,L,,GBW,R,,,,,,,,,,,,
,,,,,,,,,RBG,R,,H,,RYR,R,,,,,,,,,,,,
,,,,,,,,,GYG,R,,AN,,GBl,G,,,,,,,,,,,,
,,,,,,,,,GWG,G,,L,,GWR,G,,,,,,,,,,,,
,,,,,,,,,,,,,,GY,,,,,,,,,,,,,
21,DC,4/1/16,10:45 AM,17,8,GY,9,0,GY,UP,,L,1,GYG,G,, -GBW,,,,,,,,0,,
,,,,,,,,,GBl,R,,L,,,,, -UNMARKED,,WEB,,,,,,,,
,,,,,,,,,GWR,R,,W/T,,,,,,,,,,,,,,,
,,,,,,,,,GBW,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,,GBR,G,,W,,,,,,,,,,,,,,,
,,,,,,,,,RR,R,,H,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,RBG,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,,GWBl,G,,L,,,,,,,,,,,,,,,
21,DC,4/4/16,12:12 PM,18,5,RYR,7,0,RYR,R,,L/AB,2,GYB,G,, -RBl,,,,,,,,0,,
,,,,,,,,,RB,G,,W,,UNMARKED,R,, -RBG,,,,,,,,,,
,,,,,,,,,GY,G,,H,,,,,,,,,,,,,,,
,,,,,,,,,RBl,R,,W,,,,,,,,,,,,,,,
,,,,,,,,,RBG,G,,L,,,,,,,,,,,,,,,
,,,,,,,,,GBl,G,,L,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,R,,H,,,,,,,,,,,,,,,
21,DC,4/5/16,2:14 PM,19,30,UNMARKED,4,0,UNMARKED,G,,AN,3,GWBl,G,,,,,,G,,,NA,1,,
,,,,,,,,,UNMARKED,R,,W/AB,,GBR,G,,,,,,,,,,,,
,,,,,,,,,RYR,G,TP-G,W,,RBG,G,,,,,,,,,,,,
,,,,,,,,,RB,G,,W,,,,,,,,,,,,,,,
21,DC,4/7/16,10:55 AM,20,3,RB,7,0,RB,R,,AB,1,RY,G,, -GBl,,,,,,,,0,,
,,,,,,,,,RBl,G,TP-G,H,,,,,,,,,,,,,,,
,,,,,,,,,GBl,G,,L,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,R,,L/H,,,,,,,,,,,,,,,
,,,,,,,,,RBG,G,,L,,,,,,,,,,,,,,,
,,,,,,,,,GWR,R,,W,,,,,,,,,,,,,,,
,,,,,,,,,GY,G,,T,,,,,,,,,,,,,,,
21,DC,4/8/16,1:01 PM,21,13,GWBl,3,0,GWBl,R,,L,1,GWB,R,, -GWBl,,,,,,,,0,,
,,,,,,,,,GYB,R,,L,,,,, +GWBl,,,,,,,,,,
,,,,,,,,,RR,R,,AB,,,,, -RR,,,,,,,,,,
21,DC,4/13/16,3:05 PM,22,6,GBl,5,0,GBl,UP,,W,0,,,,,,,,,,,,0,,
,,,,,,,,,GY,UP,,T,,,,,,,,,,,,,,,
,,,,,,,,,RBl,G,,W,,,,,,,,,,,,,,,
,,,,,,,,,GYBl,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,RB,G,,AB,,,,,,,,,,,,,,,
21,DC,4/14/16,11:45 AM,23,67,RB,4,0,RB,UP,,T,2,GWG,G,, -GBl,,,,,,,,0,,
,,,,,,,,,RBl,R,TP-R,AB,,UNMARKED,R,, -RBl,,WEB,,,,,,,,
,,,,,,,,,GBl,G,,W,,,,, +RBl,,,AB,,,,,,,
,,,,,,,,,UNMARKED,R,,T/AB,,,,, +GBl,,,AB,,,,,,,
21,DC,4/15/16,1:54 PM,24,32,GYB,6,0,GYB,TOP, ,L/AB,2,GBl,R,, -GYBl,,WEB,,,,,,0,,
,,,,,,,,,GY,G,,AN/H,,GWG,G,, -GBW,,,,,,,,,,
,,,,,,,,,GYBl,G,,L,,,,, -RB,,,H,,,,,,,
,,,,,,,,,RB,R,,H/T,,,,,,,,,,,,,,,
,,,,,,,,,GBW,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,GWR,R,,L/T,,,,,,,,,,,,,,,
21,DC,4/16/16,2:40 PM,25,5,GYB,8,0,GYB,TOP,,L/AB,2,UNMARKED,R,, -RBl,,WEB,,,,,,0,,
,,,,,,,,,GY,TOP,,W/H/T,,GWG,G,, -UNMARKED,R,,,,,,,,,
,,,,,,,,,RB,TOP,,W/T,,,,, +RBl,,TP-G,A,,,,,,,
,,,,,,,,,RBG,G,,AB,,,,,,,,,,,,,,,
,,,,,,,,,GWR,R,,L/AB,,,,,,,,,,,,,,,
,,,,,,,,,GBW,R,,T/AB,,,,,,,,,,,,,,,
,,,,,,,,,RBl,G,,AB,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,R,,L, ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
