frame ID,TREATMENT,Date,Time,Trial No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreat,Activity**,Attacking part,No of comers,Id of comers,Retreat,Activity,Coming and Going back,Retreat,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,total time for pulling,intensity of pulling ***,Remarks,
,,,,,,,,,GYR,R,TP-R,L,,,,,,,,,,,,,,,
7,DC,4/1/16,3:59PM,14,24,RWBl,6,,RWBl,UP,WEB,L,1,GYR,R,,,,,,,,,,0,,
,,,,,,,,,GYG,G,,W,,,,,,,,,,,,,,,
,,,,,,,,,GYB,G,,W,,,,,,,,,,,,,,,
,,,,,,,,,GWG,G,,H,,,,,,,,,,,,,,,
,,,,,,,,,RYR,G,TP-G,L,,,,,,,,,,,,,,,
,,,,,,,,,RY,R,,L,,,,,,,,,,,,,,,
7,DC,4/4/16,10:15AM,15,9,RBR,5,,RBR,UP,,AN,2,RWY,R,, -RBR,,,,,,,,0,,
,,,,,,,,,GG,R,,L,,GWY,R,, -GG,,WEB,,,,,,,,
,,,,,,,,,GYR,G,,H,,,,, +GG,,,H,,,,,,,
,,,,,,,,,GWB,R,,W,,,,, +RBR,,,T,,,,,,,
,,,,,,,,,GBR,R,,L,,,,, -GWB,,WEB,,,,,,,,
,,,,,,,,,,,,,,,,, -GYR,,WEB,,,,,,,,
7,DC,4/5/16,,16,15,GY,9,,GY,R,,W,4,GBR,R,, -GBY,,,,,,,,0,,
,,,,,,,,,RYG,R,,L/T,,RWBl,G,, -GY,,,,,,,,,,
,,,,,,,,,RBY,R,,L,,GG,R,, +GY,,,AB,,,,,,,
,,,,,,,,,RY,G,,W,,GYR,G,, -RY,,,,,,,,,,
,,,,,,,,,GYW,R,,AN,,,,,,,,,,,,,,,
,,,,,,,,,GW,G,,W,,,,,,,,,,,,,,,
,,,,,,,,,GBY,G,,W,,,,,,,,,,,,,,,
,,,,,,,,,RBR,R,,L/H,,,,,,,,,,,,,,,
,,,,,,,,,RR,R,,AB,,,,,,,,,,,,,,,
7,DC,4/7/16,11:45AM,17,3,RWY,9,,RWY,UP,,L,0,,,, -RWY,,,,,,,,0,,
,,,,,,,,,RBY,G,,T,,,,,,,,,,,,,,,
,,,,,,,,,GG,G,,T,,,,,,,,,,,,,,,
,,,,,,,,,GYW,G,,AB,,,,,,,,,,,,,,,
,,,,,,,,,GBY,G,,H,,,,,,,,,,,,,,,
,,,,,,,,,RYG,R,,T,,,,,,,,,,,,,,,
,,,,,,,,,GWBl,G,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RYW,G,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RWR,R,,AB,,,,,,,,,,,,,,,
7,DC,4/13/16,4:00 PM,18,20,GBW,3,,GBW,G,,L,5,RBR,R,, -GBW,,,,R,,,,2,,
,,,,,,,,,RBY,R,TP-R,L,,RY,R,, -GWBl,,,,,,,,,,
,,,,,,,,,GWBl,G,,W,,RYG,UP,, -RBY,,,,,,,,,,
,,,,,,,,,,,,,,GW,R,,,,,,,,,,,,
,,,,,,,,,,,,,,GYR,R,,,,,,,,,,,,
7,DC,4/14/16,,19,20,GW,8,,GW,R,WEB,L/T,1,GYW,G,, -GB,,,,R,,653,,4,,
,,,,,,,,,GBY,R,,H,,,,, -GG,,,,,,,,,,
,,,,,,,,,GG,G,,L,,,,, +GG,,,,,,,,,,
