frame ID,TREATMENT,Date,Time,Trial No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreatof attackers,Activity**,Attacking part,No of comers,Id of comers,Retreatof comers,Activity,Coming and Going back,Retreat of coming and going back ,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,total time for pulling,intensity of pulling ***,Remarks
,,,,,,,,,GG,G,,AB,,,,,,,,,,,,,,
,,,,,,,,,RWG,R,,L,,,,,,,,,,,,,,
,,,,,,,,,RYB ,R,,H/L,,,,,,,,,,,,,,
11,SCSR,2/28/16,2.45PM,11,12,RB,13,0,RB,R,TP-R,L,1,RWG,R,, -GWY,R,WEB,,,,,,0,
,,,,,,,,,RW,R,TP-R,L,,,,, -RB,,,,,,,,,
,,,,,,,,,GBG,R,,L,,,,,,,,,,,,,,
,,,,,,,,,GYR,R,,H,,,,,,,,,,,,,,
,,,,,,,,,GBl,R,,H,,,,,,,,,,,,,,
,,,,,,,,,RBY,R,,AB,,,,,,,,,,,,,,
,,,,,,,,,RYBl,G,,T,,,,,,,,,,,,,,
,,,,,,,,,RBl,G,,T,,,,,,,,,,,,,,
,,,,,,,,,GWY,R,,AB,,,,,,,,,,,,,,
,,,,,,,,,GWBl,G,,AB,,,,,,,,,,,,,,
,,,,,,,,,RBR,R,,T/H,,,,,,,,,,,,,,
,,,,,,,,,GW,R,,L,,,,,,,,,,,,,,
,,,,,,,,,GG,R,,L,,,,,,,,,,,,,,
11,SCSR,3/2/16,4.00 PM,12,10,RBG,6,0,RBG,R,,H,3,GWBl,R,, -RB,,WEB,,,,,,0,
,,,,,,,,,RWG,R,TP-R,L,,GWY,R,, +RB,,,AB,,,,,,
,,,,,,,,,RBY,R,,W,,GG,R,, -RB,,,,,,,,,
,,,,,,,,,RWY,R,,W,,,,,,,,,,,,,,
,,,,,,,,,RB,R,WEB,L,,,,,,,,,,,,,,
,,,,,,,,,GYW,R,,L,,,,,,,,,,,,,,
11,SCSR,3/3/16,11.00AM,13,83,RYG,3,0,RYG,R,,L,0,,,,,,,,,,,,0,
,,,,,,,,,GYR,R,,W,,,,,,,,,,,,,,
,,,,,,,,,RBR,R,,W,,,,,,,,,,,,,,
11,SCSR,3/4/16,12.01PM,14,13,RBR,7,0,RBR,R,TP-R,W/AN,2,RW,R,, -RBY,,,,G,,,NA,4,
,,,,,,,,,RYBl,R,,W/T,,GG,R,, +RBY,,,AB,,,,,,
,,,,,,,,,RWG,R,,L,,,,, -GBl,,,,,,,,,
,,,,,,,,,RYG,R,,L,,,,, +GBl,,,W,,,,,,
,,,,,,,,,RBY,R,,AN,,,,, -RBY,,,,,,,,,
,,,,,,,,,RB,R,,AN,,,,,,,,,,,,,,
,,,,,,,,,GBl,G,,AN,,,,,,,,,,,,,,
11,SCSR,3/5/16,3:20PM,15,8,RYG,7,0,RYG,R,TP-R,W,0,,,,,,,,,,,,0,
,,,,,,,,,GG,R,,H,,,,,,,,,,,,,,
,,,,,,,,,RWG,G,,L,,,,,,,,,,,,,,
,,,,,,,,,RB,R,,H,,,,,,,,,,,,,,
,,,,,,,,,RYBl,R,,AB,,,,,,,,,,,,,,
,,,,,,,,,GYR,,,H,,,,,,,,,,,,,,
,,,,,,,,,RBR,R,,H/T,,,,,,,,,,,,,,
11,SCSR,3/8/16,2:45PM,16,18,RBY,5,,RBY,R,,L,2,RBR,R,, -RBY,,,,,,,,0,
,,,,,,,,,RWG,R,,H,,GYR,R,, -RYG,,,,,,,,,
,,,,,,,,,RYG,R,TP-R,W,,,,, +RBY,,,L,,,,,,
,,,,,,,,,GG,G,,L,,,,, +RYG,,,H,,,,,,
,,,,,,,,,RYBl,G,,H,,,,,,,,,,,,,,
11,SCSR,3/9/16,12:40PM,17,4,GYR,4,,GYR,R,,W,2,RBR,R,,,,,,,,,,0,
,,,,,,,,,RWG,R,,L,,GB,R,,,,,,,,,,,
,,,,,,,,,GG,R,,W,,,,,,,,,,,,,,
,,,,,,,,,RYBl,G,TP-G,L,,,,,,,,,,,,,,
11,SCSR,3/10/16,12:50PM,18,15,RYG,8,0,RYG,R,,L,2,RBY,G,, -GYR,,WEB,,R,180,540,360,4,
,,,,,,,,,RWBl,R,,L,,RBR,R,, -RYG,,WEB,,,,,,,
,,,,,,,,,RWG,G,,AN,,,,, -RB,,,,,,,,,
,,,,,,,,,RB,R,TP-R,W,,,,, -RWBl,,,,,,,,,
,,,,,,,,,GYR,R,,L,,,,, +RYG,,,AB,,,,,,
,,,,,,,,,GG,R,,T,,,,, +RB,,,W,,,,,,
,,,,,,,,,GBl,,,AB,,,,, -GBl,,,,,,,,,
,,,,,,,,,RYBl,R,,L,,,,, -GG,,WEB,,,,,,,
,,,,,,,,,,,,,,,,, -RYBl,,,,,,,,,
11,SCSR,3/12/16,3:05PM,19,88,RYBl,5,0,RYBl,R,,W,1,RWR,R,, -RYBl,UP,WEB,,R,240,,NA,2,
,,,,,,,,,RYG,R,,L,,,,,,,,,,,,,,
,,,,,,,,,RWG,R,TP-R,W,,,,,,,,,,,,,,
,,,,,,,,,RB,R,,W,,,,,,,,,,,,,,
,,,,,,,,,GYR,R,,AN,,,,,,,,,,,,,,
11,SCSR,3/13/16,2:50PM,20,286,RYBl,3,,RYBl,R,,H,4,RYG,R,, -RYBl,R,,,,,,,0,
,,,,,,,,,GG,R,,AN/H,,RYR,R,, +RYBl,,,T,,,,,,
,,,,,,,,,RWG,R,,W,,RB,R,,,,,,,,,,,
,,,,,,,,,,,,,,RBY,R,,,,,,,,,,,
11,SCSR,3/14/16,11:30AM,21,120,RBR,2,,RBR,R,,L,3,RYBl,R,, -RBR,,,,,,,,0,
,,,,,,,,,GYR,R,,H,,RYG,R,, -GYR,,WEB,,,,,,,
,,,,,,,,,,,,,,RBY,R,, +GYR,,,L,,,,,,
11,SCSR,3/15/16,2:00 PM,22,31,GYR,2,0,GYR,R,TP-R,L,2,RBR,R,, -RWG,,,,R,209,309,100,4,
