frame ID,TREATMENT,Date,Time,Trial No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreat of attackers,Activity**,Attacking part,No of comers,Id of comers,Retreat of comers,Activity,Coming and Going back,Retreat of coming and going back,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,total time for pulling,intensity of pulling ***,Remarks,
17,SCDR,2/26/16,3:35 PM,13,5,GYG,6,0,GYG,R, ,L,4,RWY,G,, -GYW,,WEB,,R,,,NA,1,,
,,,,,,,,,GYW,R,,L,,UNMARKED,G,, +GYW,,,AB,,,,,,,
,,,,,,,,,RBY,R,,L/W/H,,GWG,R,,,,,,,,,,,,
,,,,,,,,,RBR,R,,L,,GWB,R,,,,,,,,,,,,
,,,,,,,,,GW,R,,W,,,,,,,,,,,,,,,
,,,,,,,,,GYB,,,H,,,,,,,,,,,,,,,
17,SCDR,2/27/16,12:20 PM,14,20,UNMARKED,5,0,UNMARKED,R,,L,8,GB,G,, -RBY,,WEB,,,,,,0,,
,,,,,,,,,RWG,R,,H,,GYB,G,, +RBY,,,,,,,,,,
,,,,,,,,,RBY,R,,H,,GYW,G,,,,,,,,,,,,
,,,,,,,,,RBl,R,,T,,GYBl,R,,,,,,,,,,,,
,,,,,,,,,GWBl,R,,AB,,GR,R,,,,,,,,,,,,
,,,,,,,,,,,,,,GW,R,,,,,,,,,,,,
,,,,,,,,,,,,,,GWY,R,,,,,,,,,,,,
,,,,,,,,,,,,,,RY,R,WEB,,,,,,,,,,,
17,SCDR,2/29/16,2:25 PM,15,6,GYB,6,0,GYB,R,,L,6,GBR,G,,,,,,,,,,0,,
,,,,,,,,,UNMARKED,R,,H,,GG,G,,,,,,,,,,,,
,,,,,,,,,GWG,G,,H,,RB,G,,,,,,,,,,,,
,,,,,,,,,GW,G,,AB,,RBR,R,,,,,,,,,,,,
,,,,,,,,,RBY,R,,T,,RY,R,,,,,,,,,,,,
,,,,,,,,,GWR,R,,AB,,GB,R,,,,,,,,,,,,
17,SCDR,3/9/16,9:05 AM,16,3,UNMARKED,7,0,UNMARKED,R,,L,6,GWY,R,, -GYB,,,,,,,,0,,
,,,,,,,,,GYW,R,,L/H,,RBR,R,, +GYB,,,AB,,,,,,,
,,,,,,,,,UNMARKED,R,,T,,RWB,R,,,,,,,,,,,,
,,,,,,,,,UNMARKED,R,,L,,RBl,R,,,,,,,,,,,,
,,,,,,,,,GYR,R,,H,,GYBl,R,,,,,,,,,,,,
,,,,,,,,,UNMARKED,R,,H,,UNMARKED,G,,,,,,,,,,,,
,,,,,,,,,GWG,G,,W,,,,,,,,,,,,,,,
17,SCDR,3/9/16,5:30 PM,17,3,RWB,6,0,RWB,R,,AB,4,GYW,R,WEB, -RWB,,,,,,,,0,,
,,,,,,,,,UNMARKED,R,,W/T,,GG,G,, -GWG,,,,,,,,,,
,,,,,,,,,GYR,R,,W,,UNMARKED,G,, +GWG,,,AB,,,,,,,
,,,,,,,,,GWG,R,,W,,UNMARKED,G,,,,,,,,,,,,
,,,,,,,,,RBl,R,,W,,,,,,,,,,,,,,,
,,,,,,,,,GYBl,R,,L,,,,,,,,,,,,,,,
17,SCDR,3/10/16,4:29 PM,18,14,UNMARKED,4,0,UNMARKED,R,TP-R,L,5,GWBl,G,, -UNMARKED,,WEB,,,,,,0,,
,,,,,,,,,UNMARKED,R,,L,,GG,G,, -RBl,,,,,,,,,,
,,,,,,,,,UNMARKED,R,TP-R,AN,,GYW,R,, +UNMARKED,,,AB,,,,,,,
,,,,,,,,,RBl,R,,H,,GYR,,, +RBl,,,AB,,,,,,,
,,,,,,,,,,,,,,UNMARKED,G,WEB, -UNMARKED,,,,,,,,,,
,,,,,,,,,,,,,,,,, +UNMARKED,,,TP-DOWN,,,,,,,
17,SCDR,3/12/16,12:50 PM,19,10,GW,8,0,GW,UP,,AN,4,UNMARKED,R,, -UNMARKED,,WEB,,,,,,0,,
,,,,,,,,,UNMARKED,R,,L,,GYR,R,, -GW,,WEB,,,,,,,,
,,,,,,,,,GG,UP,,W,,GWG,R,, +GW,,,AB,,,,,,,
,,,,,,,,,RWB,R,,L,,UNMARKED,G,,,,,,,,,,,,
,,,,,,,,,GBR,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,GYW,R,TP-DOWN,L/T,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,R,,H,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,G,,L/H,,,,,,,,,,,,,,,
17,SCDR,3/13/16,3:13 PM,20,6,GWBl,11,0,GWBl,G,WEB,AN,0,,,, -RBl ,,,,,,,,0,,
,,,,,,,,,RBR,G,,T,,,,, -UNMARKED,,,,,,,,,,
,,,,,,,,,GYW,R,,T/AB,,,,, -GWY,,,,,,,,,,
,,,,,,,,,UNMARKED,G,,H,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,R,,AB,,,,,,,,,,,,,,,
