frame ID,TREATMENT,Date,Time,Trial No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreat of attackers,Activity**,Attacking part,No of comers,Id of comers,Retreat of comers,Activity,Coming and Going back,Retreatof coming and going back,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,total time for pulling,intensity of pulling ***,Remarks,
,,,,,,,,,,,,,,RWB,UP,,,,,,,,,,,,
23,SCSR,3/22/16,12:40 PM,11,65,RG,4,0,RG,R,,W/T,1,RW,R,,,,,, - ,,,,0,,
,,,,,,,,,RY,R,,W ,,,,,,,,,,,,,,,
,,,,,,,,,RYR,UP,,H,,,,,,,,,,,,,,,
,,,,,,,,,GBl,R,,W,,,,,,,,,,,,,,,
23,SCSR,3/23/16,12;09  Pm,12,150,RBG,1,0,RBG,R,,W,0,,,,,,,, - ,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,SCSR,3/24/16,11:00 AM,13,61,RYR,3,0,RYR,FRAME,,W/T,1,GR,R,, - RWG,,,, - ,,,,0,,
,,,,,,,,,RY,R,WEB,L,,,,, +RWG,,,L,,,,,,,
,,,,,,,,,RWG,R,,AB,,,,, - RYR,,,,,,,,,,
,,,,,,,,,,,,,,,,, + RYR,,,T,,,,,,,
,,,,,,,,,,,,,,,,, -RY ,,,,,,,,,,
23,SCSR,3/25/16,2:45 PM,14,70,GWBl,4,0,GWBl,UP,TP-UP,AN,1,RG,R,,,,,, - ,,,,0,,
,,,,,,,,,RWBl,UP,,W,,,,,,,,,,,,,,,
,,,,,,,,,RBY,R,,W,,,,,,,,,,,,,,,
,,,,,,,,,GBl,UP,TP-DOWN,L,,,,,,,,,,,,,,,
23,SCSR,3/26/16,10:08 AM,15,80,RWB,6,0,RWB,R,,L,2,RYR,G,, - RG,,,, - ,,,,0,,
,,,,,,,,,RG,R,,L/AN,,RYG,G,,,,,,,,,,,,
,,,,,,,,,RBG,R,,AN,,,,,,,,,,,,,,,
,,,,,,,,,RYBl,G,WEB,W,,,,,,,,,,,,,,,
,,,,,,,,,RY ,R,,T,,,,,,,,,,,,,,,
,,,,,,,,,RBY,G,,H,,,,,,,,,,,,,,,
23,SCSR,3/28/16,10:50 AM,16,3,RWB,5,0,RWB,R,,L,1,RY,FRAME,WEB, -RYBl,R,,,,420,510,90,4,,
,,,,,,,,,GBl,R,,L,,,,, -GBl,,WEB,,,,,,,,
,,,,,,,,,GY,G,,W/T,,,,, -GY,,WEB,,,,, ,,,
,,,,,,,,,RBY,G,,W/T,,,,, +GBl,,TP-R,H,,,,,,,
,,,,,,,,,RYBl,R,,AB,,,,, -RWB, ,,,,,,,,,
,,,,,,,,,,,,,,,,, -RBY,,,,,,,,,,
23,SCSR,3/31/16,5:06 PM,17,28,RYB,7,0,RYB,R,TP-UP,W,1,GWBl,R,, -RWB,,,,,,,,0,,
,,,,,,,,,RBY,R,,W,,,,, -GY,,,,,,,,,,
,,,,,,,,,GY,R,,L,,,,, +GY,,,W,,,,,,,
,,,,,,,,,RG,R,,H,,,,, -RYG,,,,,,,,,,
,,,,,,,,,RWB,G,,AB,,,,, -RY,,WEB,,,,,,,,
,,,,,,,,,RY,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RYG,R,,AB,,,,,,,,,,,,,,,
23,SCSR,4/1/16,10:20 AM,18,5,GWG,6,0,GWG,UP,,AN,,,,, -GWG,,,,,,,,0,,
,,,,,,,,,RBY,R,,L,,,,, +GWG,,,AB,,,,,,,
,,,,,,,,,RY,R,WEB,L/H,,,,,,,,,,,,,,,
,,,,,,,,,RG,R,,AB/W,,,,,,,,,,,,,,,
,,,,,,,,,RYG,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,GWBl,DOWN,,W,,,,,,,,,,,,,,,
23,SCSR,4/4/16,12:51 PM,19,95,GBl,3,0,GBl,R,WEB,AN,1,RBY,R,, -GWBl,,,,,,,,0,,
,,,,,,,,,RY,R,,W,,,,,,,,,,,,,,,
,,,,,,,,,GWBl,G,,AB,,,,,,,,,,,,,,,
23,SCSR,4/5/16,2:39 PM,20,8,GB,4,0,GB,G,,W,1,GBl,R,,,,,,,,,,0,,
,,,,,,,,,GBY,G,,L,,,,,,,,,,,,,,,
,,,,,,,,,RG,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,RYR,R,,L,,,,,,,,,,,,,,,
23,SCSR,4/7/16,12:31 PM,21,5,GB,4,0,GB,UP,,AN,1,RBY,G,, -GB,,,,,,,,0,,
,,,,,,,,,RYR,R,,AN,,,,, +GB,,,AB,,,,,,,
,,,,,,,,,RY,R,,L,,,,,,,,,,,,,,,
,,,,,,,,,RG,R,,T,,,,,,,,,,,,,,,
23,SCSR,4/8/16,12:39 PM,22,20,RG,2,0,RG,R,TP-R/WEB,T,1,RBL,R,WEB,,,,,,,,,0,,
,,,,,,,,,GWBl,UP,,T,,,,,,,,,,,,,,,
23,SCSR,4/13/16,11:49 AM,23,6,RB,2,0,RB,R,,AN/H,1,GWBl,G,,,,,,,,,,0,,
,,,,,,,,,RY,R,,H/T,,,,,,,,,,,,,,,
23,SCSR,4/13/16,4:45 PM,24,10,RBY,2,0,RBY,R,,H/AN,0,,,,,,,,,,,,0,,
,,,,,,,,,RY,R,,H/AN,,,,,,,,,,,,,,,
23,SCSR,4/14/16,11:31 AM,25,27,RG,1,0,RG,R,TP-UP/WEB,W,0,,,,,,,,UP,,60,NA,4,,
