frame ID,TREATMENT,Date,Time,Trial No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreat of attackers,Activity**,Attacking part,No of comers,Id of comers,Retreatof comers,Activity,Coming and Going back,Retreatof coming and going back,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,total time for pulling,intensity of pulling ***,Remarks,
,,,,,,,,,RWG,R,,H/AB,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,G,,W,,,,,,,,,,,,,,,
,,,,,,,,,RYG,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,,GG,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,,GY,R,,AB,,,,,,,,,,,,,,,
12,SCDR,3/9/16,2:00 PM,17,7,RWY,8,0,RWY,R,,H,12,S,,, -RWY,,,,R,150,,NA,3,,
,,,,,,,,,RG,R,TP-R,L,,RYR,G,, -RWR,,,,,,,,,,
,,,,,,,,,RWR,R,,AB,,RWG,G,, -GG,,,,,,,,,,
,,,,,,,,,GG,R,,L,,RWR,G,, -RWG,,,,,,,,,,
,,,,,,,,,UNMARKED,R,,L,,GR,G,, +RWY,,,AB,,,,,,,
,,,,,,,,,GWR,R,TP-R,H,,GBG,G,, +GG,,,T,,,,,,,
,,,,,,,,,RWG,R,,AB,,UNMARKED,G,,,,,,,,,,,,
,,,,,,,,,RYG,R,,H,,RB,G,,,,,,,,,,,,
,,,,,,,,,,,,,,RBY,R,,,,,,,,,,,,
,,,,,,,,,,,,,,RYB,R,,,,,,,,,,,,
,,,,,,,,,,,,,,GWY,R,,,,,,,,,,,,
,,,,,,,,,,,,,,GY,R,,,,,,,,,,,,
12,SCDR,3/10/16,12:41 PM,18,5,UNMARKED,5,0,UNMARKED,R,TP-R,W/T,3,RG,R,,,,,,,,,,0,,
,,,,,,,,,GWR,R,,H,,RY,R,,,,,,,,,,,,
,,,,,,,,,GG,R,,T,,RWG,R,,,,,,,,,,,,
,,,,,,,,,UNMARKED,R,TP-UP,L/AB,,,,,,,,,,,,,,,
,,,,,,,,,RWR,R,,W/AB,,,,,,,,,,,,,,,
12,SCDR,3/12/16,2:50 PM,19,32,GG,5,0,GG,R,,W,3,UNMARKED,R,, -GBY,,WEB,,,,,,0,,
,,,,,,,,,RG,R,,L,,RR,R,, +GBY,,,AB,,,,,,,
,,,,,,,,,GBY,R,WEB,AB,,GWR,R,,,,,,,,,,,,
,,,,,,,,,RYG,R,,H,,,,,,,,,,,,,,,
,,,,,,,,,RWY,R,,L,,,,,,,,,,,,,,,
12,SCDR,3/13/16,2:16 PM,20,22,UNMARKED,5,0,UNMARKED,R,,W,4,UNMARED,R,, -UNMARKED,,,,R,343,,NA,4,,
,,,,,,,,,RWY,R,TP-R,W,,RR,R,, -RG,,WEB,,,,,,,,
,,,,,,,,,RG,G,,L,,GG,G,, -RWG,,,,,,,,,,
,,,,,,,,,RWR,R,TP-R,H,,GWR,R,,,,,,,,,,,,
,,,,,,,,,RWG,R,,H,,,,,,,,,,,,,,,
12,SCDR,3/14/16,11:15 AM,21,14,UNMARKED,5,0,UNMARKED,R,,L,5,RR,R,, -UNMARKED,,,,R,600,698,98,4,,
,,,,,,,,,RWR,R,WEB,W,,GBY,R,, -GWR,,,,,,,,,,
,,,,,,,,,GWR,R,,W/H,,UNMARKED,R,, +UNMARKED,,,L,,,,,,,
,,,,,,,,,RWY,R,,W,,RG,R,, -GY,R,,,,,,,,,
,,,,,,,,,GY,,,AB,,RWG,R,, -GWR,,,,,,,,,,
,,,,,,,,,,,,,,,,, -RWY,R,,,,,,,,,
,,,,,,,,,,,,,,,,, +GWR,,,L,,,,,,,
,,,,,,,,,,,,,,,,, +RWY,,,AB,,,,,,,
,,,,,,,,,,,,,,,,, +GY,,,AB,,,,,,,
,,,,,,,,,,,,,,,,, -GY,R,,,,,,,,,
,,,,,,,,,,,,,,,,, -RWR,,WEB,,,,,,,,
,,,,,,,,,,,,,,,,, +RWR,,TP-R,H,,,,,,,
,,,,,,,,,,,,,,,,, -RWY,,,,,,,,,,
12,SCDR,3/15/16,2:00 PM,22,31,GYR,3,0,GYR,R,TP-R,L,2,RG,R,, -RWR,,,,R,240,340,100,4,,
,,,,,,,,,RWR,R,,L/H,,RWG,R,,,,,,,,,,,,
,,,,,, ,,,RYG,R,,AN/H,,,,,,,,,,,,,,,
12,SCDR,3/21/16,11:25 AM,23,24,UNMARKED,7,0,UNMARKED,R,,L,3,RGR,R,, -RG,,,,R,,449,NA,4,,
,,,,,,,,,RYG,R,,L,,GRW,R,, -RGW,,,,,,,,,,
,,,,,,,,,RGW,R,TP-R,L,,RR,G,, -UNMARKED,,,,,,,,,,
,,,,,,,,,GY,R,TP-R,W,,,,, -UNMARKED,,,,,,,,,,
,,,,,,,,,RG,R,,W,,,,, -RYG,,,,,,,,,,
,,,,,,,,,RGY,R,TP-R,T,,,,, +RG,,,,,,,,,,
,,,,,,,,,UNMARKED,R,,,,,,,,,,,,,,,,,
12,SCDR,3/22/16,12:25 PM,24,42,RG,5,0,RG,R,,L,2,RGW,G,, -UNMARKED,,,,R,,,,1,,
,,,,,,,,,UNMARKED,R,,L,,UNMARKED,R,, -RR,,WEB,,,,,,,,
,,,,,,,,,RR,R,TP-R,AN,,,,, +UNMARKED,,,AB,,,,,,,
,,,,,,,,,RGR,R,,W,,,,, +RR,,,H,,,,,,,
,,,,,,,,,RGY,R,,L,,,,, -UNMARKED,,,,,,,,,,
,,,,,,,,,,,,,,,,, -RGR,,,,,,,,,,
12,SCDR,3/23/16,12:34 PM,25,35,RGW,3,0,RGW,R,TP-R/WEB,L,4,RYG,R,, -RGR,,,,R,186,416,230,4,,
,,,,,,,,,RGR,R,,AN,,GY,R,,,,,,,,,,,,
,,,,,,,,,GBY,R,TP-R,W,,GBW,R,,,,,,,,, ,,,
,,,,,,,,,,,,,,UNMARKED,R,,,,,,,,,,,,
