frame ID,TREATMENT,Date,Time,Trial No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreat,Activity**,Attacking part,No of comers,Id of comers,Retreat,Activity,Coming and Going back,Retreat,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,total time for pulling,intensity of pulling ***,Remarks
4,SCDR,3/8/16,11:35AM,1,45,GWBl,7,0,GWBl,G,,W,3,GWB,R,,,,,,,,,,0,
,,,,,,,,,GBl,G,,W,,RBW,R,,,,,,,,,,,
,,,,,,,,,GW,G,,H/AB,,GY,R,,,,,,,,,,,
,,,,,,,,,RBR,G,,AB,,,,,,,,,,,,,,
,,,,,,,,,RBl,R,,L/AB,,,,,,,,,,,,,,
,,,,,,,,,GWR,R,,L,,,,,,,,,,,,,,
,,,,,,,,,RWG,R,,H,,,,,,,,,,,,,,
4,SCDR,3/9/16,4:30PM,2,13,GY,9,0,GY,G,,L,1,GWR,R,,,,,,,,,,0,
,,,,,,,,,GWBl,G,,AN,,,,,,,,,,,,,,
,,,,,,,,,GYR,R,,T,,,,,,,,,,,,,,
,,,,,,,,,GBG,G,,AB,,,,,,,,,,,,,,
,,,,,,,,,RWY,R,,AB,,,,,,,,,,,,,,
,,,,,,,,,RYB,G,,L,,,,,,,,,,,,,,
,,,,,,,,,RWB,R,,H,,,,,,,,,,,,,,
,,,,,,,,,R_,R,,H,,,,,,,,,,,,,,
,,,,,,,,,GWB,G,,H,,,,,,,,,,,,,,
4,SCDR,3/10/16,11:00AM,3,3,GBG,9,0,GBG,G,,,1,RBl,G,, -RWB,,,,,,,,0,
,,,,,,,,,RWY,UP,,T,,,,, -GW,,,,,,,,,
,,,,,,,,,GW,G,,,,,,, +GW,,,AB,,,,,,
,,,,,,,,,GWB,R,,AB,,,,, -GBG,,,,,,,,,
,,,,,,,,,GYW,G,,L/AB,,,,, +GBG,,,H,,,,,,
,,,,,,,,,RWB,G,,L,,,,, -GYW,,,,,,,,,
,,,,,,,,,GY,R,,AB,,,,, -GY,,,,,,,,,
,,,,,,,,,RBG,,,H,,,,, +GYW,,,AB,,,,,,
,,,,,,,,,RWBl,UP,,AB,,,,,,,,,,,,,,
4,SCDR,3/12/16,4:10PM,4,4,RYB,9,0,RYB,UP,,L/AB,1,RW,R,, -RWBl,,,,,,,,0,
,,,,,,,,,GWB,R,,H,,,,, +RWBl,,,AB,,,,,,
