frame ID,TREATMENT,Date,Time,Trial No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreat,Activity**,Attacking part,No of comers,Id of comers,Retreat,Activity,Coming and Going back,Retreat,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,total time for pulling,intensity of pulling ***,Remarks
,,,,,,,,,RWG,,,AB,,,,,,,,,,,,,,
,,3/18/16,12:25 pm,10,24,GY,4,,GY,DOWN,,L,3,RWB,R,, -GY,,,,,,,,0,
,,,,,,,,,RBY,G,,H,,RYW,R,, -RB,,,,,,,,,
,,,,,,,,,RB,DOWN,,W,,GG,R,, +GY,,,L,,,,,,
,,,,,,,,,GG,R,,W,,,,, +RB,,,W,,,,,,
,,3/21/16,2:38 pm,11,5,RBY,9,,RBY,R,,,0,GYB,R,,,,,,,,,,0,
,,,,,,,,,RG,G,,W,,GWBl,R,,,,,,,,,,,
,,,,,,,,,GWBl,G,,W,,,,,,,,,,,,,,
,,,,,,,,,RR,G,,AB,,,,,,,,,,,,,,
,,,,,,,,,GYBl,G,,W,,,,,,,,,,,,,,
,,,,,,,,,RYW,R,,L,,,,,,,,,,,,,,
,,,,,,,,,GYG,R,,L,,,,,,,,,,,,,,
,,,,,,,,,RR,G,,L,,,,,,,,,,,,,,
,,,,,,,,,GY,G,,H,,,,,,,,,,,,,,
,,3/22/16,2:00 pm,12,10,GYB,7,,GYB,R,,L,,,,,,,,,,,,,0,
,,,,,,,,,GBY,R,,W,,,,,,,,,,,,,,
,,,,,,,,,RB,R,,L,,,,,,,,,,,,,,
,,,,,,,,,RYBl,R,,AN/H,,,,,,,,,,,,,,
,,,,,,,,,RWBl,R,,L,,,,,,,,,,,,,,
,,,,,,,,,RBW,G,,H,,,,,,,,,,,,,,
,,,,,,,,,GWBl,R,,W,,,,,,,,,,,,,,
,,3/23/16,11:59 am,13,30,GBl,8,,GBl,R,,L/H,3,GWBl,G,, -GYW,,,,,,,,0,
,,,,,,,,,GYW,G,,L,,RB,G,, +GYW,,,T,,,,,,
,,,,,,,,,RBl,R,,W/AB,,GYB,G,,,,,,,,,,,
,,,,,,,,,GYBl,G,,L/AB,,,,,,,,,,,,,,
,,,,,,,,,GYR,G,,W,,,,,,,,,,,,,,
,,,,,,,,,RW,G,,AB,,,,,,,,,,,,,,
,,,,,,,,,RBW,R,,AB,,,,,,,,,,,,,,
,,,,,,,,,RWBl,R,,T,,,,,,,,,,,,,,
,,3/24/16,11:15 am,14,40,RBW,2,,RBW,R,TP-R/WEB,W/H,0,,,, -GYG,,,,,,,,0,
,,,,,,,,,GYG,R,,W,,,,, -RBW,,,,,,,,,
,,3/25/16,2:30 pm,15,28,RYG,4,,RYG,R,,AN,,,,,,,,,,,,,0,
,,,,,,,,,GYW,G,TP-UP,W/T,,,,,,,,,,,,,,
,,,,,,,,,RBG,R,,AN,,,,,,,,,,,,,,
,,,,,,,,,GYG,G,,W,,,,,,,,,,,,,,
,,3/26/16,10:26 am,16,66,RR,1,,RR,R,TP-R,W,0,,,,,,,,,,,,0,
,,3/28/16,10:30 am,17,38,GYW,7,,GYW,R,,L,5,GYW,R,, -GYW,,,,,,,,0,
,,,,,,,,,RB,G,,L/T,,GYG,UP,, +GYW,,,L,,,,,,
,,,,,,,,,GWY,G,,L,,RBl,R,,,,,,,,,,,
,,,,,,,,,RYBl,R,WEB,AN,,GG,R,,,,,,,,,,,
,,,,,,,,,RWBl,G,,L,,RW,G,,,,,,,,,,,
,,,,,,,,,GYR,R,,W,,,,,,,,,,,,,,
,,,,,,,,,GWBl,G,,H,,,,,,,,,,,,,,
,,3/31/16,5:00 pm,18,21,GYR,4,,GYR,R,,L,3,RYW,G,, -RWB,,,,,,,,0,
,,,,,,,,,RWB,R,,W,,RWBl,G,,,,,,,,,,,
,,,,,,,,,GBl,R,,W,,GYB,R,,,,,,,,,,,
,,,,,,,,,GWBl,R,,L,,,,,,,,,,,,,,
,,4/1/16,10:32 am,19,32,GYR,5,,GYR,R,,L,2,GWY,R,, -RBl,,,,,,,,0,
,,,,,,,,,RBG,R,,AN/L,,GY,R,,,,,,,,,,,
,,,,,,,,,RYBl,G,,H,,,,,,,,,,,,,,
,,,,,,,,,RBl,G,WEB,L,,,,,,,,,,,,,,
,,,,,,,,,GBl,R,,L,,,,,,,,,,,,,,
,,4/4/16,12:25 pm,20,126,RBY,1,,RBY,G,TP-G,W,0,,,,,,,,G,302,,,0,
,,4/5/16,2:30 pm,21,19,RB,3,,RB,G,,L,0,,,, -RB,,,,G,,,,2,
,,,,,,,,,RBW,G,TP-G,L,,,,,,,,,,,,,,
,,,,,,,,,RBY,G,,AN,,,,,,,,,,,,,,
,,4/7/16,12:54 pm,22,13,RB,4,,RB,UP,,W,1,RWBl,G,, -GYR,,,,,,,,0,
,,,,,,,,,RBl,R,,AB,,,,,,,,,,,,,,
,,,,,,,,,RWBl,G,,W,,,,,,,,,,,,,,
,,,,,,,,,GYR,G,,,,,,,,,,,,,,,,
,,4/8/16,12:49 pm,23,62,RB,2,,RB,G,,AN,0,,,, -RWBl,,,,,,,,0,
,,,,,,,,,RWBl,G,,AN,,,,,,,,,,,,,,
,,4/13/16,12:09 pm,24,220,RB,1,,RB,G,TP-G/WEB,,0,,,,,,,,G,483,,,0,
,,4/13/16,4:55 pm,25,50,RB,1,,RB,G,TP-G/WEB,AB,1,RBW,R,WEB,,,,,G,70,,,2,
