frame ID,TREATMENT,Date,Time,Trial No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreat,Activity**,Attacking part,No of comers,Id of comers,Retreat,Activity,Coming and Going back,Retreat,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,total time for pulling,intensity of pulling ***,Remarks
13,DC,2/4/16,6:50 pm,1,110,RWG,3,0,RWG,R,TP-R,AN,,,,, -RWG,,,, - ,,,,0,
,,,,,,,,,GB,R,TP-UP,L,,,,, +RWG,,,,,,,,,
,,,,,,,,,RWBl,G,TP,L,,,,, -GB,,,,,,,,,
,,,,,,,,,,,,,,,,, -RWBl,,,,,,,,,
,,,,,,,,,,,,,,,,, +RWBl,,,,,,,,,
,,2/5/16,2:55 pm,2,90,GWB,2,0,GWB,G,TP-G,H,,,,, -RBl,R,,,TOP,360,,,4,
,,,,,,,,,RBl,R,TP-R,W,,,,,,,,,,,,,,
,,2/8/16,3:38 pm,3,6,RYR,7,0,RYR,R,,L,,,,, -GWB,,,, - ,,,,0,
,,,,,,,,,GYB,R,,T/W,,,,, +GWB,,,H,,,,,,
,,,,,,,,,GWB,G,,,,,,,,,,,,,,,,
,,,,,,,,,GBY,G,,AN,,,,,,,,,,,,,,
,,,,,,,,,GY ,R,,AB,,,,,,,,,,,,,,
,,,,,,,,,GYG,R,,AB,,,,,,,,,,,,,,
,,,,,,,,,RWY,R,TP-R,L,,,,,,,,,,,,,,
,,2/9/16,3:54 pm,4,56,GYBl,5,0,GYBl,G,TP-G,L/AN,,,,, -RWR,,,,G,,,,0,
,,,,,,,,,RYW,G,,L,,,,, -RYW,,,,,,,,,
,,,,,,,,,RWR,G,,H,,,,, +RYW,,,AB,,,,,,
,,,,,,,,,GG,G,TP-G,AB,,,,, +RWR,,,W,,,,,,
,,,,,,,,,GYG,G,,W,,,,,,,,,,,,,,
,,2/10/16,2:22 pm,5,37,RWBl,8,,RWBl,R,TP-R,W,,,,, -GBl,,,,,,,,0,
,,,,,,,,,RBl,R,TP-R,L,,,,, -GYB,,WEB,,,,,,,
,,,,,,,,,RBW,R,,W,,,,, +GBl,,,AN,,,,,,
,,,,,,,,,RWY,R,,L,,,,, +GYB,,,,,,,,,
,,,,,,,,,GBl,G,,L,,,,, -GBl,R,,,,,,,,
,,,,,,,,,GWG,R,,W,,,,, +GBl,,,H,,,,,,
,,,,,,,,,GWR,R,TP-R,T ,,,,, -GYB,,WEB,,,,,,,
,,,,,,,,,GYB,G,,W,,,,, +GYB,,,,,,,,,
,,,,,,,,,,,,,,,,, -GYB,,WEB,,,,,,,
,,2/11/16,11:45 am,6,25,RY,8,,RY,R,,W,,,,, -GYW,,,,R,,,,0,
,,,,,,,,,RG,G,,GOT STING,,,,, -RY,,,,,,,,,
,,,,,,,,,GYW,G,,H,,,,, +RY,,,AB,,,,,,
,,,,,,,,,GWB,G,TP-R,W,,,,, -RY,,,,,,,,,
,,,,,,,,,RWY,G,,AB,,,,, -GBW,,,,,,,,,
,,,,,,,,,RR,G,,W,,,,, -RR,,,,,,,,,
,,,,,,,,,GBW,G,,AB,,,,, +RR,,,AB,,,,,,
,,,,,,,,,RWBl,R,TP-R,AB,,,,, +GBW,,,AB,,,,,,
,,,,,,,,,,,,,,,,, +RY,,,AB,,,,,,
,,,,,,,,,,,,,,,,, -RWBl,R,,,,,,,,
,,,,,,,,,,,,,,,,, -RWY,,,,,,,,,
,,,,,,,,,,,,,,,,, +RWY,,,H,,,,,,
,,2/13/16,3:12 pm,7,152,GWY,6,,GWY,R,TP-R,L,,,,, -GY,,WEB,,R,,,,0,
,,,,,,,,,GYW,R,TP-R,W,,,,, -GYW,,,,,,,,,
,,,,,,,,,GW,G,TP-UP,AN,,,,, +GYW,,,AB,,,,,,
,,,,,,,,,GWB,G,TP-R,AN,,,,, -GWY,,,,,,,,,
,,,,,,,,,GY ,G,,H,,,,, -GWB,,,,,,,,,
,,,,,,,,,GYB,G,TP-G,W,,,,, -GW,,,,,,,,,
,,,,,,,,,,,,,,,,, +GW,,,,,,,,,
,,,,,,,,,,,,,,,,, +GY ,,,,,,,,,
,,2/15/16,12:35 pm,8,4,GY,9,,GY,G,,,5,RYG,G,, -GYBl,,,,G,,,,1,
,,,,,,,,,RWBl,G,,AB,,RR,G,, +GYBl,,,AB,,,,,,
,,,,,,,,,GYBl,R,,,,GYR,R,, -GBR,,,,,,,,,
,,,,,,,,,GBY,G,,AB,,RYW,R,, +GBR,,,W,,,,,,
,,,,,,,,,GBR,,,W,,GWB,R,, -GWY,,,,,,,,,
,,,,,,,,,GWG,R,,W,,,,, -GYBl,,,,,,,,,
,,,,,,,,,GYG,G,TP-G,AB,,,,, +GYBl,,,T,,,,,,
,,,,,,,,,GWY,R,,L,,,,, -GWG,,,,,,,,,
,,,,,,,,,RWR,R,,H,,,,, +GWG,,,T,,,,,,
,,,,,,,,,,,,,,,,, -GBR,G,,,,,,,,
,,2/16/16,2:10 pm,9,7,GB,4,,GB,G,,H/T,8,GYG,R,, -RWBl,,WEB,, -,,,,0,
,,,,,,,,,GWG,R,,L/H,,GWY,R,, +RWBl,,,L,,,,,,
,,,,,,,,,RWBl,R,,W,,GBl,R,, -GBW,,,,,,,,,
,,,,,,,,,GBW,G,,H,,GBW,R,, +GBW,,,H,,,,,,
,,,,,,,,,,,,,,RYW,G,, -GBW,,,,,,,,,
,,,,,,,,,,,,,,RWG,G,, +GBW,,,W,,,,,,
,,,,,,,,,,,,,,RYBl,G,, -RYW,,,,,,,,,
,,,,,,,,,,,,,,GWR,R,, +RYW,,,,,,,,,
,,,,,,,,,,,,,,,,, -GYR,R,,,,,,,,
,,2/17/16,4:00 pm,10,20,RYW,4,,RYW,R,,L,8,RWG,G,, -RYW,,,, - ,,,,0,
,,,,,,,,,GBl,G,TP-G,H,,RY,G,, +RYW,,,,,,,,,
,,,,,,,,,RBW,R,,L,,RYBl,G,, -GYR,R,,,,,,,,
,,,,,,,,,GYR,G,,AB,,GBG,G,,,,,,,,,,,
,,,,,,,,,,,,,,RWBl,G,,,,,,,,,,,
,,,,,,,,,,,,,,RYR,G,,,,,,,,,,,
,,,,,,,,,,,,,,RR,R,,,,,,,,,,,
,,,,,,,,,,,,,,RWB,R,,,,,,,,,,,
,,2/18/16,12:15 pm,11,2,GYG,7,,GYG,G,,L,8,RWBl,G,, -GG,,,,,,,,0,
