frame ID,TREATMENT,Date,Time,Trial No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreat,Activity**,Attacking part,No of comers,Id of comers,Retreat,Activity,Coming and Going back,Retreat,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,total time for pulling,intensity of pulling ***,Remarks
,,,,,,,,,RBY,G,TP-G,AB/H,,RYB,G,,,,,,,,,,,
,,,,,,,,,RW,G,,AB,,RWR,G,,,,,,,,,,,
,,,,,,,,,GBR,R,,W,,GWR,R,,,,,,,,,,,
,,,,,,,,,,,,,,GYG,R,,,,,,,,,,,
,,4/23/16,2:20 pm,13,14,GYG,9,,GYG,R,TP-R,AN/H/T,0,,,, -GW,,,,R,,,,1,
,,,,,,,,,GW,G,TP-G,H,,,,, -RWY,,,,,,,,,
,,,,,,,,,RWY,G,,AB,,,,, -GYR,,,,,,,,,
,,,,,,,,,GYR,R,,H/T,,,,, -RYB,,,,,,,,,
,,,,,,,,,RWR,G,,AB,,,,, +RWY,,,T,,,,,,
,,,,,,,,,RYB,G,,AB/H,,,,, +GYR,,,T,,,,,,
,,,,,,,,,RWG,R,TP-R,L,,,,, +GW,,,T,,,,,,
,,,,,,,,,RWBl,,,H,,,,, -GW,,,,,,,,,
,,,,,,,,,GBR,R,,AB,,,,, -RWY,,,,,,,,,
,,,,,,,,,,,,,,,,, +GYR,,,,,,,,,
,,,,,,,,,,,,,,,,, -GYR,,,,,,,,,
,,,,,,,,,,,,,,,,, +GYR,,,,,,,,,
,,,,,,,,,,,,,,,,, +RWG,,,AB,,,,,,
,,,,,,,,,,,,,,,,, -RWR,,,,,,,,,
,,,,,,,,,,,,,,,,, -GYG,,,,,,,,,
,,4/23/16,3:45 pm,14,6,RWBl,5,,RWBl,R,,AB/T,4,GBW,G,, -RG,,,,G,180,,,2,
,,,,,,,,,RW,G,TP-G,AN,,RWR,G,, -RWBl,,,,,,,,,
,,,,,,,,,GY,R,,,,GR,R,, -GY,,,,,,,,,
,,,,,,,,,RWY,G,TP-G,T/H,,RB,R,, -RG,,,,,,,,,
,,,,,,,,,RG,G,,L,,,,, +RWBl,,,AB,,,,,,
,,,,,,,,,,,,,,,,, +RG,,,AB,,,,,,
,,4/24/16,4:22 pm,15,13,RBY,7,0,RBY,R,,H,2,GY,G,, -RYB,R,,,,,,,0,
,,,,,,,,,RYB,R,,L,,RWBl,R,, -GW,R,,,,,,,,
,,,,,,,,,RBW,R,,L,,,,,,,,,,,,,,
,,,,,,,,,RWR,G,TP-R,T,,,,,,,,,,,,,,
,,,,,,,,,GW,R,,L,,,,,,,,,,,,,,
,,,,,,,,,GWR,R,TP-R,AN,,,,,,,,,,,,,,
,,,,,,,,,RWY,G,,AB,,,,,,,,,,,,,,
,,4/24/16,5:00 pm,16,10,GW,9,0,GW,R,TP-R,AB,4,RBW,R,, -RBW,,,,,,,,0,
,,,,,,,,,RWBl,R,,AB,,RWY,G,, -GWR,R,,,,,,,,
,,,,,,,,,RG,R,,T,,R_,G,, +GWR,,,AB,,,,,,
,,,,,,,,,GYR,G,,L,,RWR,R,,,,,,,,,,,
,,,,,,,,,RW,R,,,,,,,,,,,,,,,,
,,,,,,,,,RYB,G,,T/H,,,,,,,,,,,,,,
,,,,,,,,,RWY,G,,W,,,,,,,,,,,,,,
,,,,,,,,,GWR,,,AB,,,,,,,,,,,,,,
,,,,,,,,,GWY,,,T,,,,,,,,,,,,,,
,,4/24/16,5:45 pm,17,5,RWY,7,0,RWY,R,,H,3,RBW,R,,,,,,,,,,0,
,,,,,,,,,GW,R,,AB/T,,GR,R,,,,,,,,,,,
,,,,,,,,,RWR,R,,AB,,GWY,R,,,,,,,,,,,
,,,,,,,,,RWG,R,,T,,,,,,,,,,,,,,
,,,,,,,,,RWBl,R,TP-R,L,,,,,,,,,,,,,,
,,,,,,,,,GWR,G,,T/H,,,,,,,,,,,,,,
,,,,,,,,,RBY,R,,H,,,,,,,,,,,,,,
,,4/25/16,2:30 pm,18,11,RWR,4,,RWR,R,TP-R,W/AB,4,RYB,G,, -RBW,G,WEB,,,,,,0,
,,,,,,,,,RB,R,,H,,GYG,R,, +RBW,,,AB,,,,,,
,,,,,,,,,RBW,G,,AB,,RBY,R,,,,,,,,,,,
,,,,,,,,,RWY,R,TP-R,AN/H,,RR,R,,,,,,,,,,,
,,4/25/16,3:11 pm,19,6,RB,6,,RB,R,,AB,1,R_,G,, -RB,,,,R,,,,1,
,,,,,,,,,RWR,R,TP-R,W/H,,,,, -RWR,,,,,,,,,
,,,,,,,,,RBY,R,TP-R/WEB,L,,,,, +RWR,,,H,,,,,,
,,,,,,,,,GBW,R,,W/T/AB,,,,, -RBY,,WEB,,,,,,,
,,,,,,,,,RG,R,TP-G,H,,,,, -GBW,,,,,,,,,
,,,,,,,,,RYB,R,TP-R,,,,,, +GBW,,,T,,,,,,
,,4/25/16,4:02 pm,20,13,RBW,7,,RBW,G,,AN,4,RWG,G,, -RBY,,WEB,,,,,,0,
,,,,,,,,,RYB,R,,T,,RWBl,R,, -GYR,G,,,,,,,,
,,,,,,,,,RG,G,,T,,GY,R,, +GYR,,,L,,,,,,
,,,,,,,,,RBY,R,,,,RB,R,, -GYR,,WEB,,,,,,,
,,,,,,,,,GW,R,,W/T/AB,,,,,,,,,,,,,,
,,,,,,,,,GYR,R,,W,,,,,,,,,,,,,,
,,,,,,,,,GWY,R,,W,,,,,,,,,,,,,,
,,4/25/16,4:34 pm,21,3,RBY,9,,RBY,G,,AB,0,,,, -RW,,,,,,,,0,
,,,,,,,,,GYR,R,,T,,,,,,,,,,,,,,
,,,,,,,,,GW,R,,W,,,,,,,,,,,,,,
,,,,,,,,,GR,G,,L,,,,,,,,,,,,,,
,,,,,,,,,RBW,G,,T,,,,,,,,,,,,,,
,,,,,,,,,RWR,R,TP-R,L,,,,,,,,,,,,,,
,,,,,,,,,RW,R,,,,,,,,,,,,,,,,
,,,,,,,,,RG,R,TP-R,H,,,,,,,,,,,,,,
,,,,,,,,,RYB,R,,L,,,,,,,,,,,,,,
,,4/26/16,2:08 pm,22,20,RBW,2,,RBW,G,,L/H,4,GBY,R,,,,,,,,,,0,
,,,,,,,,,GW,G,WEB,L,,GYR,G,,,,,,,,,,,
,,,,,,,,,,,,,,GBR,R,,,,,,,,,,,
,,,,,,,,,,,,,,RBY,R,,,,,,,,,,,
,,4/26/16,2:41 pm,23,7,RBW,10,,RBW,G,,AB,3,GW,G,, -GW,,WEB,,,,,,0,
,,,,,,,,,GR,R,,L,,GWG,R,, -GYG,,,,,,,,,
,,,,,,,,,RW,G,TP-G,L,,GR,R,, -RBW,,,,,,,,,
,,,,,,,,,RYB,R,,W,,,,, -RR,,,,,,,,,
,,,,,,,,,RWG,R,TP-G,,,,,, -RYB,,WEB,,,,,,,
,,,,,,,,,GW,G,,,,,,, -GW,,,,,,,,,
,,,,,,,,,GYG,R,,,,,,, +GW,,,T,,,,,,
,,,,,,,,,GY,R,,,,,,, -GY,,,,,,,,,
,,,,,,,,,RR,R,,,,,,, +GY,,,,,,,,,
,,,,,,,,,RWR,,,,,,,, -GY,,,,,,,,,
,,,,,,,,,,,,,,,,, -RWR,,,,,,,,,
,,,,,,,,,,,,,,,,, +GR,,,T,,,,,,
,,,,,,,,,,,,,,,,, +GW,,,H,,,,,,
,,4/26/16,3:33 pm,24,7,GYG,7,,GYG,R,,,2,GYR,R,, -GYG,,,,G,,,,1,
,,,,,,,,,RB,R,,L,,RWG,R,, -GWR,,,,,,,,,
,,,,,,,,,RWBl,G,TP-G,H,,,,, -RBY,,,,,,,,,
,,,,,,,,,GW,G,TP-G,L/T,,,,, +RBY,,,AB,,,,,,
,,,,,,,,,RBY,R,,AB,,,,, +GWR,,,H,,,,,,
,,,,,,,,,GWR,R,,W,,,,, -GWR,,,,,,,,,
,,,,,,,,,RY,G,,L,,,,, -RB,,,,,,,,,
,,,,,,,,,,,,,,,,, -RY,,,,,,,,,
,,4/26/16,4:00 pm,25,8,GW,8,,GW,G,,L,3,GWG,G,, -GWR,,WEB,,,,,,,
,,,,,,,,,GYG,G,,L,,RBY,G,, -GYG,,WEB,,,,,,,
