frame ID,TREATMENT,Date,Time,Trial No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreat,Activity**,Attacking part,No of comers,Id of comers,Retreat,Activity,Coming and Going back,Retreat,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,total time for pulling,intensity of pulling ***,Remarks
,,,,,,,,,GYR,R,,,,,,,,,,,,,,,,
,,,,,,,,,GBG,G,,AB,,,,,,,,,,,,,,
,,,,,,,,,RR,G,,W,,,,,,,,,,,,,,
,,,,,,,,,RWG,R,,H,,,,,,,,,,,,,,
,,2/15/16,2:20 pm,8,180,RG,7,0,RG,G,,L,11,GG,R,, -RG,,WEB,,,,,,,
,,,,,,,,,RWB,G,,L,,GYW,R,, -GYG,,,,,,,,,
,,,,,,,,,GYG,R,TP-G,L,,GWB,G,, +GYG,,TP-G,W,,,,,,
,,,,,,,,,RBG,R,,L,,GYBl,G,, -RWB,,WEB,,,,,,,
,,,,,,,,,GBW,R,TP-G,W,,GY,G,, +RWB,,,AB,,,,,,
,,,,,,,,,GWY,G,TP-G,H,,UNMARKED,G,, -GBW,UP,,,,,,,,
,,,,,,,,,GR,G,,L,,GB,R,, +GBW,,,H,,,,,,
,,,,,,,,,,,,,,RW,R,, -GYG,UP,,,,,,,,
,,,,,,,,,,,,,,RYB,R,, +GYG,,,W,,,,,,
,,,,,,,,,,,,,,RR,G,, -GBW,,WEB,,,,,,,
,,,,,,,,,,,,,,RB ,R,, -RBG,,WEB,,,,,,,
,,2/16/16,3:10 pm,9,8,RBR,7,0,RBR,G,,W/T,9,GYB,G,, -RBG,,,,,,,,,
,,,,,,,,,GB,G,,W,,RY,G,,,,,,,,,,,
,,,,,,,,,GBG,R,,L,,GYB,G,,,,,,,,,,,
,,,,,,,,,RWG,G,,L,,RBG,G,,,,,,,,,,,
,,,,,,,,,RG,G,,L,,GYG,R,,,,,,,,,,,
,,,,,,,,,RBG,R,,,,GBl,R,,,,,,,,,,,
,,,,,,,,,RBl,R,,AB,,RW,R,,,,,,,,,,,
,,,,,,,,,,,,,,GYW,R,,,,,,,,,,,
,,,,,,,,,,,,,,GWY,R,,,,,,,,,,,
,,2/17/16,4:45 pm,10,23,GYW,11,0,GYW,G,,W,3,GWR,G,, -GWY,,,,,,,,,
