,D0: Trial,D1: Comers
0,7.0,32
1,7.0,34
2,7.0,11
3,7.0,37
4,8.0,34
5,9.0,33
6,9.0,39
7,9.0,36
8,9.0,1
9,9.0,21
10,9.0,32
11,10.0,34
12,10.0,19
13,10.0,11
14,11.0,-1
15,12.0,7
16,12.0,37
17,12.0,26
18,13.0,16
19,13.0,-1
20,13.0,-1
21,13.0,29
22,13.0,40
23,13.0,16
24,15.0,20
25,15.0,31
26,16.0,-1
27,16.0,39
28,16.0,9
29,17.0,22
30,17.0,-1
31,18.0,39
32,18.0,10
33,18.0,20
34,18.0,-1
35,19.0,37
36,19.0,40
37,19.0,-1
38,20.0,32
39,20.0,-1
40,21.0,24
41,22.0,37
42,23.0,39
43,23.0,32
44,23.0,-1
45,24.0,13
46,24.0,37
47,24.0,-1
48,24.0,39
49,24.0,38
50,25.0,13
51,25.0,32
52,25.0,-1
53,25.0,-1
