,D0: Trial,D1: Comers
0,7.0,35
1,7.0,2
2,7.0,8
3,8.0,22
4,8.0,34
5,8.0,38
6,8.0,35
7,8.0,24
8,8.0,-1
9,8.0,23
10,8.0,5
11,8.0,13
12,8.0,1
13,8.0,3
14,9.0,33
15,9.0,4
16,9.0,33
17,9.0,8
18,9.0,32
19,9.0,26
20,9.0,5
21,9.0,34
22,9.0,39
23,10.0,36
24,10.0,1
25,10.0,21
26,11.0,28
27,11.0,21
28,11.0,20
29,11.0,7
30,11.0,40
31,12.0,7
32,12.0,25
33,12.0,36
34,13.0,7
35,13.0,23
36,13.0,40
37,13.0,28
38,13.0,8
39,14.0,5
40,14.0,36
41,14.0,20
42,15.0,31
43,15.0,25
44,15.0,23
45,15.0,33
46,15.0,18
47,16.0,18
48,16.0,24
49,16.0,20
50,17.0,26
51,17.0,1
52,17.0,23
53,17.0,6
54,18.0,-1
55,18.0,30
56,18.0,2
57,18.0,1
58,18.0,36
59,19.0,26
60,19.0,13
61,19.0,30
62,19.0,26
63,19.0,20
64,19.0,28
65,19.0,33
66,20.0,40
67,20.0,33
68,20.0,-1
69,21.0,-1
70,21.0,38
71,21.0,13
72,22.0,25
73,22.0,-1
74,22.0,11
75,22.0,18
76,22.0,36
77,23.0,26
78,23.0,27
79,23.0,22
80,23.0,38
81,23.0,-1
82,24.0,13
83,24.0,6
84,24.0,7
85,24.0,36
86,24.0,-1
