,D0: Trial,D1: Comers
0,1.0,3
1,2.0,11
2,3.0,25
3,3.0,6
4,4.0,9
5,4.0,14
6,4.0,3
7,4.0,12
8,4.0,31
9,5.0,9
10,5.0,24
11,6.0,10
12,6.0,24
13,6.0,7
14,7.0,10
15,7.0,9
16,7.0,19
17,7.0,11
18,8.0,4
19,8.0,7
20,8.0,9
21,8.0,29
22,9.0,33
23,9.0,19
24,10.0,3
25,10.0,25
26,10.0,3
27,10.0,19
28,10.0,31
29,10.0,17
30,12.0,10
31,12.0,12
32,12.0,4
33,12.0,31
34,13.0,8
35,13.0,22
36,14.0,31
37,15.0,19
38,15.0,39
39,16.0,27
40,16.0,20
41,16.0,22
42,16.0,31
43,18.0,7
44,18.0,4
45,18.0,12
46,18.0,25
47,18.0,31
48,19.0,34
49,20.0,19
50,20.0,37
51,21.0,19
52,21.0,38
53,22.0,30
54,23.0,9
55,25.0,9
56,25.0,19
57,25.0,24
58,25.0,38
