,D0: Trial,D1: Comers
0,1.0,19
1,1.0,3
2,2.0,37
3,2.0,13
4,4.0,3
5,5.0,33
6,5.0,31
7,5.0,36
8,5.0,1
9,5.0,6
10,5.0,12
11,5.0,37
12,5.0,22
13,6.0,18
14,6.0,5
15,7.0,12
16,8.0,20
17,8.0,11
18,8.0,2
19,8.0,37
20,8.0,35
21,8.0,33
22,8.0,22
23,8.0,32
24,9.0,11
25,9.0,13
26,9.0,23
27,9.0,17
28,10.0,1
29,10.0,6
30,11.0,11
31,11.0,33
32,11.0,13
33,11.0,9
34,12.0,5
35,12.0,19
36,12.0,4
37,12.0,13
38,12.0,25
39,12.0,36
40,12.0,40
41,13.0,7
42,13.0,16
43,13.0,21
44,14.0,2
45,14.0,12
46,14.0,35
47,14.0,11
48,14.0,5
49,14.0,19
50,15.0,4
51,15.0,12
52,15.0,5
53,15.0,21
54,15.0,11
55,15.0,22
56,16.0,4
57,16.0,16
58,16.0,11
59,16.0,22
60,17.0,7
61,17.0,9
62,17.0,18
63,18.0,11
64,18.0,12
65,18.0,8
66,18.0,29
67,18.0,18
68,19.0,12
69,19.0,9
70,19.0,8
71,20.0,19
72,20.0,26
73,20.0,32
74,20.0,7
75,20.0,13
76,22.0,33
77,22.0,27
78,22.0,2
79,23.0,9
80,23.0,31
81,23.0,33
82,23.0,19
83,23.0,7
84,24.0,3
85,24.0,28
86,24.0,35
87,24.0,13
88,25.0,5
89,25.0,3
90,25.0,31
91,25.0,2
