,D0: Trial,D1: Attackers,D2: Retreat
0,1.0,22,10.0
1,1.0,28,10.0
2,1.0,11,10.0
3,2.0,21,10.0
4,2.0,24,10.0
5,2.0,28,10.0
6,2.0,-1,10.0
7,2.0,31,10.0
8,2.0,9,10.0
9,3.0,-1,10.0
10,3.0,-1,10.0
11,3.0,4,10.0
12,5.0,29,10.0
13,5.0,31,10.0
14,5.0,9,10.0
15,5.0,2,10.0
16,6.0,11,10.0
17,6.0,9,14.0
18,7.0,11,10.0
19,7.0,24,10.0
20,7.0,-1,10.0
21,7.0,-1,10.0
22,7.0,7,10.0
23,8.0,-1,10.0
24,8.0,-1,10.0
25,8.0,28,10.0
26,8.0,-1,14.0
27,8.0,22,10.0
28,9.0,-1,10.0
29,9.0,-1,14.0
30,10.0,2,10.0
31,10.0,11,10.0
32,10.0,9,14.0
33,11.0,-1,10.0
34,11.0,24,10.0
35,11.0,-1,10.0
36,12.0,29,10.0
37,12.0,24,10.0
38,12.0,-1,10.0
39,12.0,2,14.0
40,13.0,-1,10.0
41,13.0,2,10.0
42,13.0,11,10.0
43,13.0,31,10.0
44,14.0,11,10.0
45,14.0,-1,10.0
46,14.0,32,10.0
47,15.0,-1,10.0
48,15.0,-1,10.0
49,15.0,29,10.0
50,15.0,11,10.0
51,15.0,-1,10.0
52,15.0,-1,10.0
53,15.0,22,10.0
54,15.0,-1,10.0
55,15.0,12,10.0
56,16.0,-1,10.0
57,16.0,-1,10.0
58,16.0,-1,10.0
59,16.0,-1,10.0
60,16.0,-1,14.0
61,16.0,12,10.0
62,16.0,22,10.0
63,16.0,24,10.0
64,17.0,-1,10.0
65,17.0,2,10.0
66,17.0,-1,10.0
67,17.0,22,10.0
68,17.0,-1,10.0
69,17.0,-1,10.0
70,17.0,-1,10.0
71,17.0,12,10.0
72,18.0,-1,10.0
73,18.0,-1,10.0
74,18.0,22,10.0
75,18.0,-1,10.0
76,18.0,-1,10.0
77,19.0,22,10.0
78,19.0,2,10.0
79,19.0,29,10.0
80,19.0,12,10.0
81,19.0,-1,10.0
82,20.0,-1,10.0
83,20.0,-1,10.0
84,20.0,2,14.0
85,20.0,-1,10.0
86,20.0,-1,10.0
87,21.0,-1,10.0
88,21.0,-1,10.0
89,21.0,-1,10.0
90,21.0,-1,10.0
91,21.0,24,0.0
92,21.0,-1,10.0
93,21.0,12,10.0
94,23.0,-1,10.0
95,23.0,12,10.0
96,23.0,-1,10.0
97,23.0,24,10.0
98,23.0,2,10.0
99,23.0,-1,10.0
100,23.0,-1,10.0
101,24.0,2,10.0
102,24.0,-1,10.0
103,24.0,1,10.0
104,24.0,-1,10.0
105,24.0,-1,10.0
106,25.0,-1,10.0
107,25.0,-1,10.0
108,25.0,29,10.0
