,D0: Trial,D1: Comers
0,1.0,38
1,1.0,10
2,1.0,24
3,2.0,36
4,3.0,6
5,4.0,5
6,5.0,6
7,6.0,33
8,6.0,5
9,7.0,17
10,8.0,17
11,8.0,35
12,8.0,26
13,9.0,1
14,9.0,36
15,9.0,12
16,9.0,37
17,10.0,37
18,10.0,21
19,10.0,7
20,12.0,35
21,12.0,12
22,12.0,10
23,13.0,29
24,13.0,31
25,13.0,18
26,13.0,35
27,13.0,14
28,14.0,35
29,15.0,18
30,15.0,-1
31,16.0,-1
32,16.0,22
33,16.0,12
34,17.0,37
35,17.0,25
36,17.0,18
37,17.0,22
38,18.0,15
39,18.0,40
40,18.0,30
41,18.0,28
42,19.0,12
43,19.0,26
44,20.0,17
45,20.0,18
46,20.0,-1
47,20.0,37
48,20.0,24
49,20.0,33
50,21.0,37
51,21.0,12
52,21.0,40
53,21.0,25
54,22.0,31
55,23.0,23
56,24.0,23
57,24.0,35
58,24.0,28
