,D0: Trial,D1: Comers
0,1.0,17
1,1.0,18
2,1.0,26
3,1.0,17
4,2.0,3
5,2.0,39
6,2.0,17
7,3.0,23
8,3.0,10
9,3.0,6
10,3.0,12
11,4.0,3
12,4.0,1
13,4.0,12
14,6.0,37
15,6.0,32
16,7.0,39
17,7.0,24
18,7.0,35
19,7.0,1
20,7.0,30
21,8.0,31
22,8.0,10
23,8.0,1
24,9.0,5
25,10.0,39
26,10.0,21
27,10.0,12
28,10.0,9
29,11.0,9
30,11.0,31
31,11.0,25
32,11.0,37
33,11.0,31
34,12.0,12
35,12.0,13
36,12.0,16
37,12.0,36
38,12.0,32
39,14.0,30
40,14.0,16
41,14.0,21
42,14.0,3
43,15.0,24
44,15.0,20
45,16.0,10
46,16.0,19
47,16.0,-1
48,16.0,16
49,17.0,10
50,17.0,21
51,17.0,39
52,18.0,13
53,18.0,32
54,18.0,9
55,18.0,1
56,19.0,-1
57,20.0,17
58,20.0,20
59,20.0,24
60,20.0,3
61,22.0,29
62,22.0,31
63,22.0,27
64,22.0,9
65,23.0,25
66,23.0,37
67,23.0,21
68,24.0,31
69,24.0,17
70,25.0,37
71,25.0,9
72,25.0,2
