,D0: Trial,D1: Attackers,D2: Retreat
0,1.0,17,10.0
1,1.0,23,10.0
2,1.0,20,14.0
3,2.0,38,14.0
4,2.0,6,10.0
5,3.0,11,10.0
6,3.0,33,10.0
7,3.0,38,14.0
8,3.0,29,14.0
9,3.0,24,10.0
10,3.0,32,10.0
11,3.0,19,10.0
12,4.0,35,14.0
13,4.0,14,14.0
14,4.0,16,14.0
15,4.0,22,14.0
16,4.0,32,14.0
17,5.0,20,10.0
18,5.0,6,10.0
19,5.0,10,10.0
20,5.0,19,10.0
21,5.0,26,14.0
22,5.0,37,10.0
23,5.0,36,10.0
24,5.0,33,14.0
25,6.0,4,10.0
26,6.0,2,14.0
27,6.0,34,14.0
28,6.0,38,14.0
29,6.0,19,14.0
30,6.0,1,14.0
31,6.0,30,14.0
32,6.0,20,10.0
33,7.0,39,10.0
34,7.0,34,10.0
35,7.0,25,14.0
36,7.0,38,14.0
37,7.0,24,14.0
38,7.0,33,14.0
39,8.0,24,14.0
40,8.0,20,14.0
41,8.0,35,10.0
42,8.0,29,14.0
43,8.0,27,0.0
44,8.0,37,10.0
45,8.0,32,14.0
46,8.0,39,10.0
47,8.0,16,10.0
48,9.0,23,14.0
49,9.0,37,10.0
50,9.0,20,10.0
51,9.0,30,14.0
52,10.0,14,10.0
53,10.0,26,14.0
54,10.0,10,10.0
55,10.0,31,14.0
56,11.0,32,14.0
57,11.0,24,10.0
58,11.0,25,10.0
59,11.0,22,10.0
60,11.0,12,10.0
61,11.0,34,10.0
62,11.0,39,10.0
63,12.0,34,14.0
64,12.0,11,10.0
65,12.0,24,10.0
66,12.0,25,10.0
67,12.0,30,10.0
68,12.0,5,10.0
69,12.0,20,10.0
70,12.0,40,14.0
71,13.0,30,10.0
72,13.0,12,10.0
73,13.0,-1,14.0
74,13.0,20,10.0
75,13.0,35,10.0
76,14.0,26,14.0
77,14.0,31,14.0
78,14.0,39,14.0
79,14.0,36,10.0
80,15.0,6,10.0
81,15.0,35,14.0
82,15.0,16,14.0
83,15.0,39,14.0
84,15.0,17,14.0
85,15.0,37,10.0
86,15.0,15,14.0
87,15.0,23,14.0
88,15.0,29,10.0
