,D0: Trial,D1: Comers
0,1.0,26
1,1.0,-1
2,1.0,-1
3,4.0,39
4,4.0,30
5,4.0,38
6,5.0,29
7,5.0,35
8,5.0,38
9,5.0,27
10,5.0,34
11,5.0,25
12,5.0,33
13,5.0,32
14,5.0,6
15,6.0,7
16,6.0,25
17,6.0,31
18,6.0,24
19,6.0,37
20,6.0,32
21,6.0,39
22,6.0,29
23,6.0,22
24,7.0,24
25,7.0,31
26,7.0,13
27,7.0,4
28,7.0,38
29,8.0,22
30,8.0,7
31,8.0,35
32,9.0,25
33,11.0,23
34,11.0,25
35,11.0,7
36,11.0,35
37,11.0,3
38,11.0,30
39,12.0,18
40,12.0,23
41,12.0,9
42,13.0,22
43,13.0,34
44,14.0,37
45,14.0,8
46,14.0,22
47,14.0,18
48,14.0,9
49,14.0,11
50,15.0,8
51,15.0,37
52,15.0,23
53,15.0,38
54,15.0,13
55,15.0,21
56,16.0,28
57,16.0,27
58,17.0,32
59,17.0,40
60,17.0,3
61,17.0,36
62,18.0,24
63,18.0,40
64,18.0,14
65,19.0,32
66,19.0,37
67,19.0,34
68,20.0,32
69,20.0,37
70,20.0,22
71,20.0,34
72,21.0,8
73,21.0,38
74,21.0,32
75,21.0,31
76,21.0,34
77,21.0,-1
78,22.0,24
79,22.0,21
80,22.0,26
81,22.0,14
82,22.0,18
83,22.0,29
84,22.0,34
85,23.0,40
86,23.0,8
87,23.0,37
88,24.0,21
89,24.0,39
90,24.0,34
91,24.0,22
92,24.0,-1
93,25.0,31
94,25.0,38
95,25.0,29
