,D0: Trial,D1: Comers
0,4.0,23
1,4.0,13
2,4.0,33
3,4.0,40
4,4.0,9
5,5.0,37
6,5.0,18
7,5.0,7
8,5.0,24
9,6.0,4
10,6.0,6
11,6.0,22
12,6.0,13
13,6.0,19
14,6.0,24
15,6.0,1
16,6.0,20
17,7.0,5
18,7.0,25
19,7.0,12
20,8.0,14
21,8.0,25
22,8.0,35
23,8.0,1
24,9.0,18
25,9.0,32
26,9.0,14
27,9.0,5
28,9.0,22
29,10.0,35
30,10.0,15
31,10.0,27
32,10.0,7
33,10.0,4
34,10.0,21
35,11.0,15
36,11.0,37
37,11.0,3
38,12.0,12
39,12.0,29
40,12.0,3
41,12.0,6
42,13.0,32
43,13.0,-1
44,13.0,23
45,13.0,29
46,13.0,34
47,14.0,15
48,14.0,5
49,15.0,13
50,15.0,24
51,15.0,18
52,15.0,6
53,16.0,18
54,16.0,3
55,16.0,32
56,16.0,34
57,16.0,5
58,17.0,18
59,17.0,12
60,17.0,34
61,17.0,3
62,18.0,27
63,18.0,32
64,18.0,21
65,18.0,1
66,19.0,6
67,19.0,22
68,19.0,32
69,19.0,21
70,19.0,4
71,20.0,34
72,20.0,5
73,20.0,4
74,21.0,27
75,21.0,3
76,21.0,28
77,21.0,1
78,21.0,5
79,22.0,3
80,22.0,35
81,22.0,5
82,22.0,22
83,23.0,32
84,23.0,28
85,23.0,-1
86,23.0,18
87,23.0,34
88,23.0,29
89,23.0,12
90,25.0,32
91,25.0,6
92,25.0,28
93,25.0,35
