,D0: Trial,D1: Attackers,D2: Retreat
0,1.0,13,10.0
1,1.0,33,10.0
2,1.0,7,10.0
3,1.0,27,14.0
4,1.0,1,10.0
5,1.0,6,14.0
6,1.0,-1,14.0
7,1.0,11,10.0
8,1.0,2,14.0
9,1.0,-1,10.0
10,1.0,29,14.0
11,1.0,-1,14.0
12,1.0,-1,10.0
13,3.0,24,10.0
14,3.0,-1,14.0
15,3.0,7,10.0
16,3.0,13,10.0
17,3.0,9,10.0
18,3.0,1,10.0
19,3.0,6,10.0
20,3.0,31,10.0
21,4.0,24,10.0
22,4.0,-1,10.0
23,4.0,7,10.0
24,4.0,34,14.0
25,4.0,2,14.0
26,4.0,5,10.0
27,4.0,-1,10.0
28,5.0,34,10.0
29,5.0,31,14.0
30,5.0,-1,10.0
31,5.0,11,10.0
32,5.0,21,10.0
33,5.0,12,14.0
34,5.0,-1,14.0
35,7.0,11,10.0
36,7.0,26,14.0
37,7.0,3,14.0
38,7.0,36,10.0
39,7.0,22,10.0
40,7.0,31,10.0
41,7.0,9,10.0
42,7.0,2,14.0
43,8.0,34,14.0
44,8.0,1,10.0
45,8.0,13,10.0
46,8.0,3,10.0
47,8.0,5,10.0
48,8.0,24,14.0
49,8.0,2,10.0
50,8.0,21,14.0
51,8.0,15,10.0
52,8.0,13,10.0
53,8.0,-1,14.0
54,9.0,-1,10.0
55,9.0,24,10.0
56,9.0,21,10.0
57,9.0,12,10.0
58,9.0,7,10.0
59,9.0,34,14.0
60,9.0,-1,14.0
61,10.0,23,10.0
62,10.0,-1,10.0
63,10.0,2,10.0
64,10.0,11,10.0
65,10.0,7,10.0
66,10.0,-1,14.0
67,10.0,-1,10.0
68,10.0,15,14.0
69,10.0,-1,14.0
70,10.0,22,14.0
71,10.0,-1,10.0
72,10.0,13,10.0
73,11.0,3,10.0
74,11.0,2,10.0
75,11.0,28,10.0
76,11.0,31,10.0
77,11.0,26,10.0
78,11.0,9,10.0
79,11.0,15,14.0
80,11.0,6,14.0
81,11.0,-1,10.0
82,11.0,-1,14.0
83,11.0,7,10.0
84,11.0,21,10.0
85,11.0,22,10.0
86,12.0,8,10.0
87,12.0,-1,10.0
88,12.0,9,10.0
89,12.0,-1,10.0
90,12.0,3,10.0
91,12.0,34,10.0
92,13.0,12,10.0
93,13.0,31,10.0
94,13.0,7,10.0
95,14.0,7,10.0
96,14.0,15,10.0
97,14.0,-1,10.0
98,14.0,12,10.0
99,14.0,9,10.0
100,14.0,3,10.0
101,14.0,26,14.0
102,15.0,12,10.0
103,15.0,22,10.0
104,15.0,-1,14.0
105,15.0,3,10.0
106,15.0,15,10.0
107,15.0,31,0.0
108,15.0,7,10.0
109,16.0,9,10.0
110,16.0,-1,10.0
111,16.0,12,10.0
112,16.0,22,14.0
113,16.0,15,14.0
114,17.0,31,10.0
115,17.0,-1,10.0
116,17.0,22,10.0
117,17.0,15,14.0
118,18.0,12,10.0
119,18.0,-1,10.0
120,18.0,-1,14.0
121,18.0,3,10.0
122,18.0,31,10.0
123,18.0,22,10.0
124,18.0,26,0.0
125,18.0,15,10.0
126,19.0,15,10.0
127,19.0,12,10.0
128,19.0,-1,10.0
129,19.0,3,10.0
130,19.0,31,10.0
131,20.0,15,10.0
132,20.0,22,10.0
133,20.0,-1,10.0
134,21.0,7,10.0
135,21.0,31,10.0
136,22.0,31,10.0
137,22.0,-1,10.0
