,D0: Trial,D1: Attackers,D2: Retreat
0,1.0,14,10.0
1,1.0,5,10.0
2,1.0,23,10.0
3,2.0,21,14.0
4,2.0,23,14.0
5,2.0,5,10.0
6,3.0,2,10.0
7,3.0,5,10.0
8,3.0,34,14.0
9,3.0,11,10.0
10,3.0,23,10.0
11,3.0,3,10.0
12,3.0,10,10.0
13,3.0,21,10.0
14,3.0,40,14.0
15,4.0,2,10.0
16,4.0,11,10.0
17,4.0,34,14.0
18,4.0,37,10.0
19,5.0,9,10.0
20,5.0,38,14.0
21,5.0,1,10.0
22,5.0,2,10.0
23,5.0,22,10.0
24,5.0,13,14.0
25,6.0,5,10.0
26,6.0,13,14.0
27,6.0,22,10.0
28,6.0,12,10.0
29,6.0,9,10.0
30,6.0,8,10.0
31,6.0,11,10.0
32,7.0,21,10.0
33,7.0,31,10.0
34,7.0,9,0.0
35,8.0,4,10.0
36,8.0,1,10.0
37,8.0,12,10.0
38,8.0,40,14.0
39,8.0,8,10.0
40,8.0,2,10.0
41,8.0,9,10.0
42,8.0,6,10.0
43,8.0,14,0.0
44,8.0,23,10.0
45,9.0,40,10.0
46,9.0,9,14.0
47,9.0,2,10.0
48,9.0,21,14.0
49,9.0,23,10.0
50,9.0,1,10.0
51,9.0,5,10.0
52,9.0,12,10.0
53,9.0,6,10.0
54,10.0,1,10.0
55,10.0,6,10.0
56,10.0,5,10.0
57,10.0,12,10.0
58,10.0,21,10.0
59,10.0,40,10.0
60,10.0,10,10.0
61,10.0,9,10.0
62,10.0,26,10.0
63,10.0,23,10.0
64,11.0,2,14.0
65,11.0,6,10.0
66,11.0,5,10.0
67,12.0,28,10.0
68,12.0,31,10.0
69,12.0,6,10.0
70,12.0,5,10.0
71,12.0,2,14.0
72,12.0,11,14.0
73,12.0,21,10.0
74,12.0,12,10.0
75,13.0,31,10.0
76,13.0,5,10.0
77,13.0,2,10.0
78,13.0,26,14.0
79,13.0,28,10.0
80,13.0,12,10.0
81,13.0,10,10.0
82,14.0,2,10.0
83,14.0,31,10.0
84,14.0,21,10.0
85,14.0,10,10.0
86,14.0,8,10.0
87,14.0,28,10.0
88,15.0,21,10.0
89,15.0,6,10.0
90,15.0,26,10.0
91,15.0,12,10.0
92,15.0,28,10.0
93,15.0,8,10.0
94,15.0,2,10.0
95,15.0,10,10.0
96,16.0,6,10.0
97,16.0,11,10.0
98,16.0,26,10.0
99,16.0,13,14.0
100,16.0,12,10.0
101,16.0,21,10.0
102,17.0,5,10.0
103,17.0,2,10.0
104,17.0,10,10.0
105,17.0,21,10.0
106,17.0,26,10.0
107,17.0,34,10.0
108,18.0,9,10.0
109,18.0,10,10.0
110,18.0,17,10.0
111,18.0,26,10.0
112,18.0,2,10.0
113,18.0,28,10.0
114,18.0,12,10.0
115,18.0,5,10.0
116,18.0,6,10.0
117,18.0,13,10.0
118,19.0,5,10.0
119,19.0,1,10.0
120,19.0,21,10.0
121,19.0,10,10.0
122,19.0,6,10.0
123,20.0,6,10.0
124,20.0,5,10.0
125,20.0,10,10.0
126,21.0,6,10.0
127,21.0,8,10.0
128,21.0,28,10.0
129,21.0,9,10.0
130,21.0,21,10.0
131,22.0,6,10.0
132,22.0,26,10.0
133,23.0,13,14.0
134,23.0,6,10.0
135,23.0,21,10.0
136,23.0,1,10.0
137,23.0,9,10.0
138,23.0,5,10.0
139,24.0,6,10.0
140,24.0,2,14.0
141,24.0,1,10.0
142,24.0,5,10.0
143,24.0,31,10.0
144,24.0,9,10.0
145,24.0,6,10.0
146,24.0,21,14.0
147,25.0,5,10.0
148,25.0,26,10.0
149,25.0,2,10.0
150,25.0,28,10.0
151,25.0,21,10.0
