,D0: Trial,D1: Comers
0,7.0,1
1,7.0,-1
2,7.0,2
3,7.0,29
4,8.0,2
5,8.0,11
6,8.0,9
7,9.0,-1
8,9.0,30
9,9.0,12
10,10.0,-1
11,10.0,28
12,10.0,29
13,10.0,24
14,10.0,12
15,10.0,-1
16,10.0,11
17,12.0,28
18,12.0,-1
19,12.0,1
20,13.0,22
21,13.0,28
22,14.0,-1
23,14.0,32
24,15.0,2
25,15.0,4
26,15.0,3
27,16.0,31
28,17.0,-1
29,17.0,11
30,17.0,17
31,17.0,16
32,17.0,21
33,17.0,28
34,17.0,-1
35,17.0,3
36,17.0,9
37,17.0,13
38,17.0,39
39,17.0,24
40,18.0,2
41,18.0,4
42,18.0,-1
43,19.0,-1
44,19.0,1
45,19.0,-1
46,20.0,-1
47,20.0,1
48,20.0,22
49,20.0,-1
50,21.0,1
51,21.0,29
52,21.0,-1
53,21.0,2
54,21.0,-1
55,22.0,2
56,22.0,-1
57,23.0,-1
58,23.0,-1
59,23.0,1
60,24.0,-1
61,24.0,-1
62,25.0,12
63,25.0,24
64,25.0,30
65,25.0,-1
