,D0: Trial,D1: Attackers,D2: Retreat
0,1.0,4,0.0
1,1.0,39,14.0
2,1.0,6,10.0
3,1.0,5,10.0
4,1.0,1,10.0
5,1.0,24,14.0
6,3.0,28,14.0
7,3.0,4,14.0
8,3.0,10,14.0
9,3.0,23,14.0
10,3.0,39,14.0
11,3.0,33,14.0
12,4.0,39,14.0
13,4.0,2,0.0
14,4.0,7,0.0
15,4.0,12,14.0
16,4.0,9,10.0
17,4.0,11,10.0
18,4.0,37,10.0
19,4.0,4,10.0
20,4.0,6,10.0
21,5.0,9,14.0
22,5.0,2,10.0
23,5.0,39,14.0
24,5.0,35,10.0
25,5.0,30,10.0
26,5.0,4,14.0
27,5.0,11,14.0
28,6.0,2,14.0
29,6.0,39,10.0
30,6.0,23,10.0
31,6.0,9,14.0
32,6.0,35,10.0
33,6.0,14,10.0
34,6.0,4,14.0
35,6.0,6,10.0
36,7.0,15,14.0
37,7.0,9,14.0
38,7.0,12,14.0
39,7.0,6,10.0
40,7.0,28,14.0
41,7.0,24,0.0
42,7.0,7,10.0
43,8.0,1,14.0
44,8.0,29,14.0
45,8.0,9,10.0
46,8.0,32,10.0
47,8.0,10,14.0
48,8.0,28,14.0
49,8.0,18,14.0
50,8.0,7,10.0
51,8.0,4,10.0
52,8.0,23,14.0
53,8.0,-1,14.0
54,9.0,-1,10.0
55,9.0,27,10.0
56,10.0,12,10.0
57,10.0,4,10.0
58,10.0,7,10.0
59,10.0,6,10.0
60,10.0,27,10.0
61,10.0,40,10.0
62,11.0,15,10.0
63,11.0,-1,14.0
64,11.0,26,14.0
65,11.0,1,14.0
66,11.0,7,14.0
67,12.0,7,0.0
68,12.0,26,14.0
69,12.0,2,0.0
70,12.0,4,14.0
71,12.0,-1,10.0
72,13.0,-1,14.0
73,13.0,4,10.0
74,13.0,27,14.0
75,13.0,28,14.0
76,13.0,26,14.0
77,14.0,-1,10.0
78,14.0,-1,14.0
79,14.0,-1,10.0
80,14.0,-1,10.0
81,14.0,-1,14.0
82,14.0,2,10.0
83,14.0,37,10.0
84,14.0,29,10.0
85,14.0,-1,10.0
86,14.0,28,14.0
87,15.0,-1,14.0
88,15.0,12,14.0
89,15.0,-1,14.0
90,15.0,-1,10.0
91,15.0,28,14.0
92,15.0,-1,14.0
93,16.0,-1,10.0
94,16.0,-1,10.0
95,16.0,-1,10.0
96,16.0,2,14.0
97,16.0,-1,10.0
98,16.0,40,14.0
99,16.0,-1,10.0
100,16.0,-1,10.0
101,16.0,4,14.0
102,16.0,-1,0.0
103,16.0,-1,0.0
104,16.0,-1,0.0
105,16.0,-1,0.0
106,17.0,-1,0.0
107,17.0,-1,0.0
108,17.0,-1,10.0
109,17.0,-1,14.0
110,17.0,-1,0.0
111,17.0,-1,0.0
112,17.0,12,10.0
113,17.0,4,10.0
114,17.0,26,14.0
115,17.0,-1,0.0
116,17.0,-1,0.0
117,18.0,-1,10.0
118,18.0,15,10.0
119,18.0,-1,14.0
120,18.0,-1,14.0
121,18.0,-1,14.0
122,18.0,4,14.0
123,18.0,2,0.0
124,18.0,3,0.0
125,18.0,-1,0.0
126,18.0,-1,0.0
127,18.0,-1,0.0
128,18.0,-1,0.0
129,18.0,-1,0.0
130,18.0,37,14.0
131,19.0,-1,0.0
132,19.0,-1,10.0
133,19.0,-1,14.0
134,19.0,-1,10.0
135,19.0,2,10.0
136,20.0,-1,0.0
137,20.0,12,14.0
138,20.0,-1,10.0
139,20.0,-1,14.0
140,20.0,-1,14.0
141,20.0,-1,14.0
142,20.0,-1,10.0
143,20.0,2,10.0
144,20.0,-1,0.0
145,20.0,-1,0.0
146,21.0,-1,0.0
147,21.0,-1,0.0
148,21.0,-1,0.0
149,22.0,12,0.0
150,22.0,-1,10.0
151,22.0,-1,10.0
152,22.0,2,10.0
153,22.0,-1,0.0
154,22.0,-1,14.0
155,22.0,-1,0.0
