,D0: Trial,D1: Comers
0,1.0,22
1,1.0,21
2,1.0,4
3,1.0,37
4,2.0,14
5,3.0,10
6,3.0,39
7,3.0,9
8,4.0,4
9,4.0,19
10,5.0,15
11,5.0,24
12,6.0,16
13,6.0,1
14,7.0,25
15,7.0,13
16,7.0,9
17,8.0,36
18,8.0,5
19,8.0,35
20,8.0,5
21,8.0,27
22,8.0,32
23,8.0,4
24,8.0,26
25,9.0,30
26,9.0,12
27,9.0,15
28,9.0,13
29,9.0,14
30,9.0,4
31,10.0,12
32,10.0,23
33,10.0,40
34,10.0,3
35,11.0,39
36,11.0,27
37,11.0,7
38,11.0,40
39,12.0,17
40,12.0,32
41,12.0,19
42,12.0,13
43,12.0,4
44,12.0,23
45,13.0,12
46,13.0,17
47,13.0,33
48,13.0,30
49,14.0,4
50,14.0,23
51,14.0,7
52,14.0,5
53,14.0,29
54,14.0,3
55,15.0,38
56,15.0,35
57,15.0,17
58,15.0,10
59,15.0,7
60,15.0,3
61,15.0,29
62,16.0,12
63,16.0,4
64,16.0,22
65,16.0,11
66,17.0,5
67,17.0,16
68,17.0,33
69,17.0,29
70,18.0,23
71,18.0,40
72,18.0,27
73,18.0,25
74,18.0,36
75,19.0,12
76,19.0,21
77,19.0,16
78,19.0,8
79,19.0,-1
80,20.0,27
81,20.0,4
82,20.0,9
83,20.0,11
84,20.0,12
85,21.0,16
86,21.0,15
87,21.0,29
88,22.0,28
89,22.0,29
90,22.0,25
91,22.0,-1
92,23.0,40
93,23.0,13
94,23.0,27
95,23.0,29
96,23.0,3
97,23.0,24
98,24.0,21
99,25.0,39
100,25.0,40
101,25.0,3
102,25.0,4
103,25.0,19
104,25.0,17
105,25.0,11
106,25.0,21
107,25.0,24
108,25.0,22
109,26.0,9
110,26.0,40
111,26.0,23
112,26.0,31
113,26.0,7
114,27.0,37
115,27.0,8
116,27.0,33
117,27.0,4
118,27.0,13
