,D0: Trial,D1: Comers
0,2.0,36
1,2.0,13
2,3.0,3
3,3.0,32
4,4.0,14
5,4.0,27
6,4.0,13
7,5.0,36
8,6.0,40
9,6.0,14
10,6.0,-1
11,6.0,2
12,6.0,25
13,7.0,25
14,7.0,3
15,7.0,32
16,7.0,36
17,8.0,33
18,8.0,39
19,8.0,36
20,8.0,1
21,8.0,21
22,8.0,32
23,9.0,-1
24,10.0,6
25,10.0,11
26,10.0,20
27,11.0,12
28,12.0,40
29,12.0,14
30,12.0,36
31,12.0,8
32,12.0,4
33,14.0,33
34,14.0,8
35,14.0,22
36,14.0,1
37,14.0,40
38,15.0,1
39,15.0,27
40,15.0,12
41,15.0,37
42,15.0,14
43,15.0,8
44,15.0,-1
45,16.0,22
46,16.0,8
47,16.0,33
48,16.0,-1
49,17.0,26
50,17.0,-1
51,18.0,8
52,18.0,4
53,18.0,-1
54,18.0,3
55,19.0,-1
56,19.0,14
57,19.0,7
58,19.0,8
59,20.0,14
60,20.0,24
61,20.0,-1
62,21.0,-1
63,22.0,18
64,22.0,37
65,22.0,7
66,23.0,3
67,23.0,1
68,23.0,26
69,23.0,-1
70,23.0,37
71,24.0,7
72,25.0,21
