,D0: Trial,D1: Comers
0,1.0,10
1,1.0,38
2,1.0,31
3,2.0,30
4,2.0,2
5,2.0,20
6,2.0,6
7,2.0,12
8,3.0,31
9,4.0,11
10,4.0,14
11,4.0,19
12,4.0,30
13,4.0,21
14,4.0,7
15,5.0,31
16,5.0,1
17,5.0,16
18,6.0,25
19,6.0,9
20,6.0,14
21,7.0,4
22,7.0,2
23,7.0,22
24,7.0,23
25,7.0,18
26,7.0,30
27,7.0,7
28,7.0,8
29,7.0,25
30,8.0,14
31,8.0,6
32,8.0,20
33,9.0,1
34,9.0,2
35,9.0,21
36,9.0,27
37,10.0,34
38,11.0,25
39,11.0,9
40,11.0,24
41,11.0,11
42,12.0,17
43,12.0,6
44,12.0,31
45,12.0,15
46,12.0,22
47,12.0,21
48,12.0,24
49,12.0,13
50,12.0,5
51,13.0,31
52,13.0,11
53,13.0,30
54,13.0,8
55,13.0,19
56,13.0,4
57,13.0,24
58,14.0,14
59,14.0,5
60,14.0,2
61,14.0,1
62,14.0,38
63,14.0,34
64,14.0,29
65,14.0,6
66,15.0,27
67,15.0,37
68,15.0,8
69,16.0,30
70,16.0,21
71,16.0,35
72,16.0,32
73,16.0,37
74,16.0,2
75,17.0,11
76,17.0,19
77,17.0,2
78,18.0,40
79,18.0,-1
80,18.0,14
81,19.0,30
82,19.0,6
83,19.0,32
84,19.0,27
85,19.0,10
86,19.0,12
87,19.0,30
88,19.0,8
89,20.0,29
90,20.0,11
91,20.0,5
92,20.0,24
93,20.0,19
94,20.0,39
95,20.0,34
96,21.0,39
97,22.0,-1
98,22.0,-1
99,23.0,36
100,23.0,33
101,23.0,1
102,24.0,27
103,25.0,36
104,25.0,32
105,25.0,34
