,D0: Trial,D1: Attackers,D2: Retreat
0,1.0,26,10.0
1,1.0,35,10.0
2,1.0,1,14.0
3,1.0,13,14.0
4,2.0,15,14.0
5,2.0,26,14.0
6,2.0,37,10.0
7,2.0,31,14.0
8,2.0,35,14.0
9,2.0,14,10.0
10,2.0,12,10.0
11,3.0,16,14.0
12,3.0,1,14.0
13,3.0,22,14.0
14,3.0,13,10.0
15,3.0,5,14.0
16,3.0,21,10.0
17,3.0,14,10.0
18,3.0,23,10.0
19,4.0,22,14.0
20,4.0,13,10.0
21,4.0,33,14.0
22,4.0,27,14.0
23,4.0,25,10.0
24,4.0,16,10.0
25,4.0,4,10.0
26,5.0,26,10.0
27,5.0,16,14.0
28,5.0,25,10.0
29,6.0,37,14.0
30,6.0,5,14.0
31,6.0,4,14.0
32,6.0,1,10.0
33,7.0,25,10.0
34,7.0,5,14.0
35,7.0,32,10.0
36,7.0,1,10.0
37,7.0,18,14.0
38,8.0,15,14.0
39,8.0,14,10.0
40,8.0,12,14.0
41,8.0,24,10.0
42,8.0,16,14.0
43,9.0,4,10.0
44,9.0,12,14.0
45,9.0,5,14.0
46,9.0,14,14.0
47,9.0,21,10.0
48,9.0,32,14.0
49,9.0,3,14.0
50,9.0,18,10.0
51,9.0,16,10.0
52,10.0,22,14.0
53,10.0,4,10.0
54,10.0,5,10.0
55,10.0,2,14.0
56,10.0,25,0.0
57,10.0,21,14.0
58,10.0,16,10.0
59,10.0,18,10.0
60,11.0,12,10.0
61,11.0,16,10.0
62,11.0,31,14.0
63,12.0,31,14.0
64,12.0,16,10.0
65,12.0,33,10.0
66,12.0,1,10.0
67,12.0,9,10.0
68,12.0,12,10.0
69,13.0,25,10.0
70,13.0,31,14.0
71,13.0,5,14.0
72,13.0,28,10.0
73,13.0,14,10.0
74,13.0,12,10.0
75,13.0,32,0.0
76,14.0,3,10.0
77,14.0,32,10.0
78,14.0,33,14.0
79,14.0,15,14.0
80,15.0,32,0.0
81,15.0,28,10.0
82,15.0,2,14.0
83,15.0,25,10.0
84,15.0,14,10.0
