,D0: Trial,D1: Comers
0,1.0,5
1,1.0,12
2,2.0,30
3,2.0,22
4,4.0,35
5,4.0,22
6,5.0,34
7,5.0,30
8,5.0,7
9,5.0,17
10,5.0,18
11,5.0,19
12,6.0,30
13,6.0,36
14,6.0,40
15,6.0,4
16,6.0,15
17,6.0,29
18,7.0,39
19,7.0,23
20,7.0,15
21,7.0,26
22,7.0,4
23,8.0,29
24,8.0,22
25,8.0,25
26,8.0,23
27,9.0,21
28,9.0,16
29,9.0,6
30,9.0,35
31,9.0,29
32,9.0,11
33,10.0,18
34,10.0,35
35,10.0,23
36,10.0,12
37,11.0,30
38,11.0,22
39,11.0,27
40,11.0,21
41,12.0,6
42,12.0,21
43,12.0,27
44,12.0,28
45,12.0,7
46,12.0,39
47,12.0,31
48,12.0,3
49,13.0,36
50,13.0,39
51,13.0,34
52,13.0,32
53,13.0,21
54,13.0,13
55,14.0,40
56,14.0,11
57,14.0,17
58,14.0,33
59,14.0,20
60,15.0,35
61,15.0,15
62,15.0,26
63,15.0,6
64,16.0,6
65,16.0,40
66,17.0,10
67,17.0,18
68,17.0,19
69,17.0,8
70,18.0,8
71,18.0,30
72,18.0,15
73,19.0,8
74,19.0,15
75,19.0,28
76,19.0,11
77,19.0,32
78,19.0,12
79,19.0,40
80,20.0,27
81,20.0,5
82,20.0,15
83,20.0,14
84,20.0,7
85,21.0,40
86,21.0,8
87,21.0,34
88,21.0,22
89,22.0,25
90,22.0,31
91,23.0,37
92,23.0,35
93,23.0,36
94,23.0,30
95,24.0,26
96,24.0,28
97,25.0,5
98,25.0,16
99,25.0,25
100,25.0,12
101,25.0,40
102,26.0,40
