,D0: Trial,D1: Attackers,D2: Retreat
0,1.0,27,10.0
1,1.0,3,10.0
2,1.0,12,14.0
3,1.0,13,14.0
4,1.0,16,10.0
5,1.0,19,14.0
6,2.0,16,10.0
7,2.0,1,10.0
8,2.0,12,14.0
9,3.0,2,0.0
10,3.0,17,14.0
11,3.0,5,14.0
12,3.0,10,10.0
13,3.0,1,10.0
14,3.0,20,14.0
15,4.0,27,0.0
16,4.0,20,0.0
17,4.0,12,10.0
18,5.0,-1,0.0
19,5.0,16,10.0
20,5.0,1,14.0
21,5.0,20,0.0
22,5.0,2,14.0
23,5.0,17,10.0
24,5.0,21,14.0
25,6.0,13,0.0
26,6.0,20,14.0
27,6.0,27,14.0
28,6.0,1,14.0
29,6.0,19,14.0
30,6.0,39,10.0
31,7.0,-1,10.0
32,7.0,20,14.0
33,7.0,16,14.0
34,7.0,27,14.0
35,7.0,13,10.0
36,7.0,2,14.0
37,8.0,19,10.0
38,8.0,13,14.0
39,8.0,32,14.0
40,8.0,5,10.0
41,8.0,39,14.0
42,8.0,27,10.0
43,8.0,9,10.0
44,9.0,25,10.0
45,9.0,32,10.0
46,9.0,36,10.0
47,9.0,2,10.0
48,9.0,39,14.0
49,9.0,16,10.0
50,9.0,27,10.0
51,9.0,-1,14.0
52,9.0,21,10.0
53,10.0,25,10.0
54,10.0,16,14.0
55,10.0,19,14.0
56,10.0,-1,14.0
57,10.0,9,10.0
58,10.0,39,10.0
59,10.0,30,10.0
60,10.0,27,10.0
61,11.0,16,10.0
62,11.0,17,10.0
63,11.0,32,14.0
64,11.0,20,10.0
65,11.0,10,10.0
66,11.0,39,10.0
67,12.0,20,10.0
68,12.0,9,14.0
69,12.0,5,14.0
70,12.0,27,10.0
71,13.0,32,10.0
72,13.0,25,14.0
73,13.0,19,14.0
74,13.0,31,10.0
75,13.0,16,14.0
76,13.0,13,14.0
77,13.0,17,10.0
78,13.0,20,0.0
79,13.0,27,10.0
80,14.0,20,10.0
81,14.0,5,14.0
82,14.0,24,10.0
83,14.0,19,14.0
84,14.0,2,14.0
85,15.0,9,10.0
86,15.0,13,10.0
87,15.0,10,10.0
88,15.0,16,14.0
89,15.0,25,10.0
90,15.0,36,10.0
91,15.0,19,14.0
