,D0: Trial,D1: Attackers,D2: Retreat
0,3.0,9,10.0
1,3.0,4,10.0
2,3.0,1,10.0
3,3.0,39,10.0
4,3.0,10,10.0
5,3.0,22,10.0
6,3.0,19,10.0
7,3.0,8,10.0
8,3.0,13,10.0
9,3.0,34,10.0
10,5.0,8,14.0
11,5.0,37,14.0
12,6.0,34,0.0
13,6.0,9,0.0
14,7.0,20,14.0
15,7.0,6,10.0
16,7.0,39,10.0
17,9.0,8,14.0
18,9.0,-1,14.0
19,9.0,-1,10.0
20,10.0,10,10.0
21,10.0,18,10.0
22,10.0,12,0.0
23,10.0,8,14.0
24,10.0,24,10.0
25,10.0,-1,10.0
26,12.0,23,10.0
27,12.0,8,14.0
28,12.0,10,14.0
29,12.0,-1,14.0
30,12.0,-1,10.0
31,13.0,-1,10.0
32,13.0,-1,10.0
33,13.0,28,10.0
34,13.0,35,14.0
35,14.0,39,14.0
36,14.0,28,14.0
37,14.0,-1,10.0
38,14.0,-1,10.0
39,14.0,24,10.0
40,14.0,23,10.0
41,17.0,23,10.0
42,17.0,-1,14.0
43,17.0,-1,14.0
44,17.0,-1,14.0
45,17.0,24,10.0
46,18.0,39,0.0
47,18.0,-1,0.0
48,18.0,-1,14.0
49,18.0,2,14.0
50,19.0,1,10.0
51,19.0,-1,0.0
52,20.0,-1,0.0
53,20.0,12,14.0
54,20.0,17,10.0
55,21.0,-1,14.0
56,21.0,8,0.0
57,21.0,23,10.0
58,21.0,-1,10.0
59,21.0,-1,0.0
60,22.0,-1,10.0
61,22.0,35,10.0
62,22.0,39,10.0
63,22.0,17,10.0
64,23.0,8,10.0
65,23.0,28,10.0
66,24.0,-1,0.0
67,24.0,1,10.0
68,24.0,35,10.0
