,D0: Trial,D1: Attackers,D2: Retreat
0,1.0,6,10.0
1,1.0,19,10.0
2,1.0,29,10.0
3,1.0,17,14.0
4,1.0,24,14.0
5,1.0,4,14.0
6,1.0,18,10.0
7,1.0,10,10.0
8,1.0,39,14.0
9,1.0,2,10.0
10,1.0,16,14.0
11,2.0,29,10.0
12,2.0,17,10.0
13,2.0,15,14.0
14,3.0,10,10.0
15,3.0,15,14.0
16,3.0,33,14.0
17,4.0,15,14.0
18,4.0,6,10.0
19,4.0,40,14.0
20,4.0,16,10.0
21,4.0,7,10.0
22,4.0,12,10.0
23,4.0,17,10.0
24,5.0,40,14.0
25,5.0,15,10.0
26,6.0,33,10.0
27,6.0,9,10.0
28,6.0,32,14.0
29,7.0,10,14.0
30,7.0,35,14.0
31,7.0,31,14.0
32,7.0,20,10.0
33,8.0,33,10.0
34,8.0,12,10.0
35,8.0,7,10.0
36,8.0,39,10.0
37,8.0,9,14.0
38,8.0,35,14.0
39,8.0,16,10.0
40,8.0,5,10.0
41,8.0,6,10.0
42,9.0,39,14.0
43,9.0,28,10.0
44,9.0,32,14.0
45,9.0,4,10.0
46,9.0,17,10.0
47,10.0,39,10.0
48,10.0,9,10.0
49,10.0,29,14.0
50,10.0,6,10.0
51,10.0,10,10.0
52,10.0,15,14.0
53,10.0,36,10.0
54,10.0,20,10.0
55,11.0,33,10.0
56,11.0,11,14.0
57,11.0,35,10.0
58,11.0,28,14.0
59,11.0,36,14.0
60,11.0,9,14.0
61,11.0,16,10.0
62,11.0,17,14.0
63,12.0,23,10.0
64,12.0,25,10.0
65,12.0,17,10.0
66,12.0,2,14.0
67,12.0,34,14.0
68,12.0,12,10.0
69,12.0,10,10.0
70,12.0,16,10.0
71,13.0,23,10.0
72,13.0,16,10.0
73,13.0,9,14.0
74,13.0,35,14.0
75,13.0,25,10.0
76,13.0,17,10.0
77,13.0,12,10.0
78,13.0,6,14.0
79,14.0,28,10.0
80,14.0,35,10.0
81,14.0,36,14.0
82,15.0,24,14.0
83,15.0,36,14.0
84,15.0,23,10.0
85,15.0,40,10.0
86,15.0,32,10.0
87,15.0,17,14.0
88,16.0,18,10.0
89,16.0,28,10.0
90,16.0,30,14.0
91,17.0,22,10.0
92,17.0,24,10.0
93,17.0,17,10.0
94,17.0,12,14.0
95,17.0,1,14.0
96,17.0,21,14.0
97,17.0,4,10.0
98,17.0,2,10.0
99,17.0,3,10.0
100,18.0,9,10.0
101,18.0,4,10.0
102,18.0,20,10.0
103,18.0,12,14.0
104,18.0,18,10.0
105,18.0,6,10.0
106,18.0,11,10.0
107,18.0,19,14.0
108,18.0,28,14.0
109,19.0,23,14.0
110,19.0,21,14.0
111,19.0,10,10.0
112,20.0,35,14.0
113,20.0,23,14.0
114,20.0,10,14.0
115,20.0,20,14.0
116,20.0,22,10.0
117,20.0,17,10.0
118,20.0,26,10.0
119,20.0,27,10.0
120,20.0,19,14.0
121,21.0,35,14.0
122,21.0,19,10.0
123,21.0,25,14.0
124,21.0,26,10.0
125,21.0,15,10.0
126,21.0,17,10.0
127,21.0,27,14.0
128,21.0,9,14.0
129,21.0,23,14.0
130,22.0,26,10.0
131,22.0,24,10.0
132,22.0,30,14.0
133,22.0,9,14.0
134,22.0,3,10.0
135,22.0,7,14.0
136,23.0,24,10.0
137,23.0,2,10.0
138,23.0,40,14.0
139,23.0,25,14.0
140,23.0,19,10.0
141,24.0,30,10.0
142,24.0,38,10.0
143,24.0,40,14.0
144,24.0,24,10.0
145,26.0,3,10.0
146,26.0,35,14.0
147,26.0,11,10.0
148,26.0,37,14.0
149,26.0,15,10.0
150,26.0,19,10.0
151,27.0,12,10.0
152,27.0,31,14.0
153,27.0,35,10.0
154,27.0,24,10.0
