frame ID,TREATMENT,Date,Time,Trial No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreat,Activity**,Attacking part,No of comers,Id of comers,Retreat,Activity,Coming and Going back,Retreat,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,total time for pulling,intensity of pulling ***,Remarks,
9,SCSR,2/27/16,10:20 AM,15,15,RYR,4,0,RYR,UP,,H,0,,,,,,,,,,,,0,,
,,,,,,,,,GR,UP,,L,,,,,,,,,,,,,,,
,,,,,,,,,GBY,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,R,,W,,,,,,,,,,,,,,,
9,SCSR,3/8/16,3:40 PM,16,12,RYG,5,0,RYG,UP,,H,0,,,,,,,,,,,,0,,
,,,,,,,,,UNMARKED,DOWN,,W,,,,,,,,,,,,,,,
,,,,,,,,,GYG,G,,H,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,UP,,W,,,,,,,,,,,,,,,
,,,,,,,,,RBl,R,,AB,,,,,,,,,,,,,,,
9,SCSR,3/9/16,11:10 AM,17,30,UNMARKED,4,0,UNMARKED,UP,,AB,2,GBR,G,,,,,,,,,,0,,
,,,,,,,,,RBR,UP,,W,,RY,R,,,,,,,,,,,,
,,,,,,,,,RYG,G,,L,,,,,,,,,,,,,,,
,,,,,,,,,RB,R,,L,,,,,,,,,,,,,,,
9,SCSR,3/10/16,2:20 PM,18,3,RYW,8,0,RYW,UP,,L/AB,2,RY,G,, -UNMARKKED,,,,,,,,0,,
,,,,,,,,,RYG,G,,H,,UNMARKED,R,, +UNMARKED,,,,,,,,,,
,,,,,,,,,RYB,R,,AB,,,,, -GY,,,,,,,,,,
,,,,,,,,,UNMARKED,G,,H,,,,,,,,,,,,,,,
,,,,,,,,,GY,R,,AB/T,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,UP,,L,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,G,,L,,,,,,,,,,,,,,,
,,,,,,,,,GYW,,,T,,,,,,,,,,,,,,,
9,SCSR,3/12/16,3:19 PM,19,11,UNMARKED,4,0,UNMARKED,UP,,L/AB,1,UNMARKED,G,,,,,,,,,,0,,
,,,,,,,,,UNMARKED,DOWN,,W/H,,,,,,,,,,,,,,,
,,,,,,,,,RY,R,TP-G,W/AB,,,,,,,,,,,,,,,
