frame ID,TREATMENT,Date,Time,Trial No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreat,Activity**,Attacking part,No of comers,Id of comers,Retreat,Activity,Coming and Going back,Retreat,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,total time for pulling,intensity of pulling ***,Remarks,,,,,,,,,,,,,,
5,DC,2/22/16,11:34 AM,12,6,RBl,5,,RBl,R,TP-R/WEB,L,5,GWBl,G,, -GWG,,,,R,,,NA,1,,,,,,,,,,,,,,,
,,,,,,,,,RBR,R,TP-R/WEB,L/T,,RYW,G,, -GBl,WEB,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,RR,R,TP-R,L,,GWR,R,, +GBl,AB,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GWG,R,,AB,,RBG,R,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GBl,UP,,AB,,RY,,,,,,,,,,,,,,,,,,,,,,,,,,
5,DC,2/23/16,5:38 PM,13,0,NO ATTACK,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
5,DC,2/25/16,10:54 AM,14,42,GBR,6,,GBR,R,TP-R,H,5,GYB,R,, -GYG,,,,R,,,528,4,,,,,,,,,,,,,,,
,,,,,,,,,GYG,G,,L,,RBG,R,WEB, +GYG,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,G,,L,,GG,G,, -GYG,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,RYW,R,,L,,RR,R,, -RYW,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GWR,R,TP-R,L,,GWBl,R,, -UNMARKED,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GWY,R,,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,DC,2/26/16,10:47 AM,15,6,GYB,4,,GYB,UP,,W,7,RR,R,,-GWR,,,,G,,,205,4,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,G,TP-G,W,,GBR,R,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GWR,R,,T,,RYG,R,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GWBl,R,,L,,GWG,R,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,RYW,R,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,RBG,G,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,UNMARKED,G,,,,,,,,,,,,,,,,,,,,,,,,,
5,DC,2/29/16,3:55 PM,16,30,UNMARKED,10,,UNMARKED,R,TP-UP,L,4,GG,G,, -RB,,,,R,,,NA,1,,,,,,,,,,,,,,,
,,,,,,,,,RB,R,,L,,RBG,G,, -RBR,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,RBl,R,,L,,GYB,R,, -RBl,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,RYW,R,,L,,UNMARKED,G,, +RBl,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,RY,R,,L,,,,, -RBl,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,RBR,R,,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GBR,R,,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GWG,UP,TP-UP,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GWR,,,AB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,RWY,R,TP-UP,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,DC,3/8/16,12:10 PM,17,20,UNMARKED,9,,UNMARKED,G,,L,2,GBl,R,,,,,,,,,,0,,,,,,,,,,,,,,,
,,,,,,,,,RWG,R,,H,,UNMARKED,G,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,RR,R,TP-R,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GWG,G,TP-UP,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,R,,AB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,R,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,RYW,R,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,RY,R,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,G,,AB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,DC,3/9/16,4:40 PM,18,5,RR,5,,RR,G,,W,4,RBG,UP,, -RWG,,WEB,,UP,480,,NA,1,,,,,,,,,,,,,,,
,,,,,,,,,GWG,G,TP-UP,H,,RY,R,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,RWG,G,,L,,UNMARKED,UP,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,G,,W,,RB,,WEB,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,G,,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,DC,3/10/16,11:15 AM,19,8,RWG,7,,RWG,G,TP-UP,H,4,UNMARKED,UP,, -UNMARKED,WEB,,,,,,,0,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,UP,TP-UP,T,,RYW,G,, -GG,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,RR,R,TP-DOWN,L,,RBR,R,, -UNMARKED,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GWG,R,TP-UP,T,,RBG,R,, +UNMARKED,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,R,,AB,,,,, +GG,,H,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GG,G,,L,,,,, -UNMARKED,,UP,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,UP,,AB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,DC,3/12/16,4:25 PM,20,23,RR,4,,RR,R,,L,3,RYW,G,, -GG,,,,R,240,398,158,4,,,,,,,,,,,,,,,
,,,,,,,,,GG,UP,,L,,GY,G,, +GG,,,L,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,RWG,UP,TP-R,AN,,UNMARKED,UP,, -RR ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GWG,G,,W,,,,, -GG,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, -GWG,,,,,,,,,,,,,,,,,,,,,,,
5,DC,3/13/16,11:20 AM,21,114,GG,1,,GG,G,TP-G/WEB,W/T,1,UNMARKED,UP,, -GG,,WEB,,G,140,,NA,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,, +GG,,,H,,,,,,,,,,,,,,,,,,,,
5,DC,3/14/16,2:10 PM,22,29,RY,3,,RY,UP,,L,3,RWB,UP,, -RY,,,,,,,,0,,,,,,,,,,,,,,,
,,,,,,,,,GYB,G,,AN,,GWG,G,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,UP,TP-G,L,,RBR,G,,,,,,,,,,,,,,,,,,,,,,,,,
5,DC,3/15/16,11:30 AM,23,150,UNMARKED,1,,UNMARKED,UP,TP-UP/WEB,W,5,RB,R,,,,,,R,,,NA,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,RR,R,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,GBl,R,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,UNMARKED,G,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,GWG,R,,,,,,,,,,,,,,,,,,,,,,,,,
5,DC,3/21/16,12:26 PM,24,20,GYB,6,,GYB,R,,W,1,RBR,R,, -GYB,,,,R,302,590,288,4,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,G,,L,,,,, -UNMARKED,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,R,TP-R,AN,,,,, -UNMARKED,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,G,,W,,,,, -UNMARKED,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,RR,R,,W,,,,, -RR,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,R,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,DC,3/24/16,3:15 PM,25,23,UNMARKED,6,,UNMARKED,UP,,AN,1,GR,G,,,,,,,,,,0,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,G,,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GYB,G,,AN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,GG,UP,,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,R,,AB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,UNMARKED,G,,AB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
